random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],,36,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,37,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,9,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,[None],,17,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,[None],,39,1,1,1,1,1,1,1,1,1,1,1,1,1
3,5,[None],,42,1,1,1,1,1,1,1,1,1,1,1,1,1
3,6,[None],,26,1,1,1,1,1,1,1,1,1,1,1,1,1
3,7,[None],,36,1,1,1,1,1,1,1,1,1,1,1,1,1
3,8,[None],,37,1,1,1,1,1,1,1,1,1,1,1,1,1
3,9,[None],,37,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
9,3,[None],,44,1,1,1,1,1,1,1,1,1,1,1,1,1
9,4,[None],,17,1,1,1,1,1,1,1,1,1,1,1,1,1
9,5,[None],,40,1,1,1,1,1,1,1,1,1,1,1,1,1
9,6,[None],,37,1,1,1,1,1,1,1,1,1,1,1,1,1
9,7,[None],,37,1,1,1,1,1,1,1,1,1,1,1,1,1
9,8,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
9,9,[None],,39,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,40,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,19,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,4,1,1,1,1,1,1,1,1,1,1,1,1,1
27,3,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
27,4,[None],,39,1,1,1,1,1,1,1,1,1,1,1,1,1
27,5,[None],,16,1,1,1,1,1,1,1,1,1,1,1,1,1
27,6,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
27,7,[None],,39,1,1,1,1,1,1,1,1,1,1,1,1,1
27,8,[None],,37,1,1,1,1,1,1,1,1,1,1,1,1,1
27,9,[None],,43,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,17,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
81,3,[None],,36,1,1,1,1,1,1,1,1,1,1,1,1,1
81,4,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
81,5,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
81,6,[None],,42,1,1,1,1,1,1,1,1,1,1,1,1,1
81,7,[None],,42,1,1,1,1,1,1,1,1,1,1,1,1,1
81,8,[None],,42,1,1,1,1,1,1,1,1,1,1,1,1,1
81,9,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
