random_seed,fold,threshold,roc_auc,C,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],,4.118069455876453,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,86.61762795987894,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,1.167320925807189,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,[None],,37.45407443072437,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1,1,1,1,1
3,5,[None],,1.4655113968820537,1,1,1,1,1,1,1,1,1,1,1,1,1
3,6,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1,1,1,1,1
3,7,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1
3,8,[None],,2.737499261568556,1,1,1,1,1,1,1,1,1,1,1,1,1
3,9,[None],,92.47417055027985,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,9.767301633426985,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,18.340532644892395,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,96.99098822521421,1,1,1,1,1,1,1,1,1,1,1,1,1
9,3,[None],,83.2442808357781,1,1,1,1,1,1,1,1,1,1,1,1,1
9,4,[None],,1.077571949516523,1,1,1,1,1,1,1,1,1,1,1,1,1
9,5,[None],,1.5555740334743913,1,1,1,1,1,1,1,1,1,1,1,1,1
9,6,[None],,98.21025066693737,1,1,1,1,1,1,1,1,1,1,1,1,1
9,7,[None],,2.330198031615642,1,1,1,1,1,1,1,1,1,1,1,1,1
9,8,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1,1,1,1,1
9,9,[None],,2.2525347898790757,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,2.0450812988919864,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,2.2922660706775098,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,100.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27,3,[None],,18.182578538213342,1,1,1,1,1,1,1,1,1,1,1,1,1
27,4,[None],,1.0106434083620641,1,1,1,1,1,1,1,1,1,1,1,1,1
27,5,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1
27,6,[None],,61.185328286948476,1,1,1,1,1,1,1,1,1,1,1,1,1
27,7,[None],,2.632163751680419,1,1,1,1,1,1,1,1,1,1,1,1,1
27,8,[None],,50.365291341641075,1,1,1,1,1,1,1,1,1,1,1,1,1
27,9,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,65.11856027077455,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,47.50280773581995,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,8.605606812919866,1,1,1,1,1,1,1,1,1,1,1,1,1
81,3,[None],,92.70637665889504,1,1,1,1,1,1,1,1,1,1,1,1,1
81,4,[None],,96.99098822521421,1,1,1,1,1,1,1,1,1,1,1,1,1
81,5,[None],,6.505252793368653,1,1,1,1,1,1,1,1,1,1,1,1,1
81,6,[None],,33.028041280215525,1,1,1,1,1,1,1,1,1,1,1,1,1
81,7,[None],,29.12298489689017,1,1,1,1,1,1,1,1,1,1,1,1,1
81,8,[None],,0.9861807266078791,1,1,1,1,1,1,1,1,1,1,1,1,1
81,9,[None],,90.932049275838,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,10.834443184649526,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,59.86588855385524,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,2.504417503294886,1,1,1,1,1,1,1,1,1,1,1,1,1
243,3,[None],,18.182578538213342,1,1,1,1,1,1,1,1,1,1,1,1,1
243,4,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1,1,1,1,1
243,5,[None],,12.203911280654397,1,1,1,1,1,1,1,1,1,1,1,1,1
243,6,[None],,0.4549750959853366,1,1,1,1,1,1,1,1,1,1,1,1,1
243,7,[None],,2.29223650015664,1,1,1,1,1,1,1,1,1,1,1,1,1
243,8,[None],,88.77719997526569,1,1,1,1,1,1,1,1,1,1,1,1,1
243,9,[None],,59.86588855385524,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,3.4389486726697283,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,86.61762795987894,1,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,68.42333422791305,1,1,1,1,1,1,1,1,1,1,1,1,1
729,3,[None],,35.1025391799724,1,1,1,1,1,1,1,1,1,1,1,1,1
729,4,[None],,73.19942098174633,1,1,1,1,1,1,1,1,1,1,1,1,1
729,5,[None],,100.0,1,1,1,1,1,1,1,1,1,1,1,1,1
729,6,[None],,9.767301633426985,1,1,1,1,1,1,1,1,1,1,1,1,1
729,7,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1,1,1,1,1
729,8,[None],,3.4389486726697283,1,1,1,1,1,1,1,1,1,1,1,1,1
729,9,[None],,0.6176077166624978,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,1.3098275273040774,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,21.233989833916546,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,38.65007292457287,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,3,[None],,52.475690687580624,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,4,[None],,100.0,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,5,[None],,9.767301633426985,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,6,[None],,4.6451366269585,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,7,[None],,29.12298489689017,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,8,[None],,86.61762795987894,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,9,[None],,1.5126364461887198,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,0.6755723157741681,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,6.505252793368653,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,3,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,4,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,5,[None],,59.86588855385524,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,6,[None],,0.977170293494645,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,7,[None],,84.50117431085623,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,8,[None],,0.7090846552446254,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,9,[None],,37.45407443072437,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,100.0,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,1.3280034876397193,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,21.233989833916546,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,3,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,4,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,5,[None],,2.23141687152844,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,6,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,7,[None],,17.052495316316783,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,8,[None],,1.9344878807034278,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,9,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,6.505252793368653,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,9.767301633426985,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,3,[None],,86.61762795987894,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,4,[None],,78.51761762170523,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,5,[None],,7.4349599967834585,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,6,[None],,1.0390551497209337,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,7,[None],,100.0,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,8,[None],,1.725148022502064,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,9,[None],,86.61762795987894,1,1,1,1,1,1,1,1,1,1,1,1,1
