random_seed,fold,threshold,roc_auc,C,gamma,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,0.05717197793929074,8154.687236801187,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,[None],,53.72629697479671,6532.536684971628,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1,1,1,1,1,1,1
3,5,[None],,35.84663700785441,1158.6906836643911,1,1,1,1,1,1,1,1,1,1,1,1,1
3,6,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1,1,1,1,1,1,1
3,7,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
3,8,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
3,9,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,93.94990020652476,8948.273514793753,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,5.8084554084587285,8661.761471131736,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,8.849341355941744,1959.8287045931659,1,1,1,1,1,1,1,1,1,1,1,1,1
9,3,[None],,96.56320674425262,8083.973500324877,1,1,1,1,1,1,1,1,1,1,1,1,1
9,4,[None],,0.0001,8154.001217702513,1,1,1,1,1,1,1,1,1,1,1,1,1
9,5,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
9,6,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,7,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,8,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,9,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,0.0001,8164.462971614484,1,1,1,1,1,1,1,1,1,1,1,1,1
