random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],0.9040229885057472,5,209,0.2895779839870292,1,1,1,1,0,1,1,1,0,1,1,0,1
3,1,[None],0.9189655172413794,1,116,0.5007653880971525,1,1,1,1,1,1,0,1,1,0,1,1,1
3,2,[None],0.8862068965517241,4,58,0.8632403224497179,1,1,1,0,0,1,1,1,0,0,1,1,1
3,3,[None],0.9477011494252874,1,432,0.5779238362918511,1,1,1,0,1,1,1,1,1,0,1,1,1
3,4,[None],0.9298850574712644,1,433,0.6028403622342541,1,1,1,0,0,0,1,1,1,0,0,1,1
3,5,[None],0.9201149425287357,2,152,0.5252316752006057,1,1,0,0,0,1,0,1,1,0,0,1,1
3,6,[None],0.9400000000000001,1,454,0.2595212016184169,1,1,0,0,0,1,0,1,1,0,0,1,1
3,7,[None],0.9266666666666667,6,461,0.08940400954986757,1,1,0,0,0,0,0,1,0,1,0,1,1
3,8,[None],0.9516666666666668,1,454,0.8540819815541656,1,1,0,0,0,0,1,1,1,0,1,0,1
3,9,[None],0.9216666666666666,1,454,0.2595212016184169,1,1,1,1,0,0,1,1,0,0,1,0,1
9,0,[None],0.8597701149425288,1,410,0.8991402742172235,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.9229885057471265,6,144,0.8374842831606496,1,1,0,0,0,0,1,1,0,1,1,0,1
9,2,[None],0.9258620689655173,2,151,0.46614776149736137,1,1,1,1,1,0,1,1,1,0,1,1,1
9,3,[None],0.9477011494252874,1,455,0.4257384250581748,1,1,1,1,1,1,0,1,0,1,1,0,1
9,4,[None],0.9540229885057472,6,385,0.49765526570072854,1,1,0,0,0,0,0,1,0,1,0,0,1
9,5,[None],0.9339080459770115,4,146,0.612241041827657,1,1,0,1,0,1,1,1,0,0,0,1,1
9,6,[None],0.9077777777777778,2,152,0.5252316752006057,1,1,0,0,0,0,1,1,1,1,0,0,1
9,7,[None],0.9444444444444445,2,466,0.5390176858119471,1,1,0,1,1,0,1,1,1,1,0,1,1
9,8,[None],0.925,1,409,0.7525637903188988,1,1,0,0,0,0,1,1,1,1,1,1,1
9,9,[None],0.9272222222222222,4,136,0.8289087716427774,1,1,1,0,0,1,1,1,0,1,1,1,1
27,0,[None],0.9143678160919539,4,58,0.8632403224497179,1,1,1,1,1,0,1,1,1,1,0,1,1
27,1,[None],0.9264367816091954,2,400,0.1681169834015365,1,1,0,0,0,0,1,1,0,1,0,0,1
27,2,[None],0.8752873563218392,5,93,0.969615043136794,1,1,1,1,0,0,1,1,0,1,1,1,1
27,3,[None],0.9528735632183908,2,465,0.8161401767312343,1,1,0,0,0,1,1,1,1,1,1,0,1
27,4,[None],0.9275862068965517,1,16,0.6508936618274394,1,1,0,1,1,1,1,1,1,1,1,1,1
27,5,[None],0.9252873563218391,1,409,0.9510087734550513,1,1,1,0,1,1,1,1,1,1,1,1,1
27,6,[None],0.8922222222222221,9,300,0.46082036115002734,1,1,1,1,1,1,1,1,1,1,1,1,1
27,7,[None],0.9211111111111111,2,356,0.7610242635682806,1,1,1,1,1,1,1,1,1,1,1,0,1
27,8,[None],0.8900000000000001,5,144,0.6293439264675577,1,1,1,0,0,1,1,1,1,1,0,1,1
27,9,[None],0.9222222222222223,1,454,0.2595212016184169,1,1,0,0,0,0,1,1,1,0,1,0,1
81,0,[None],0.9540229885057472,2,152,0.5252316752006057,1,1,1,1,0,1,1,1,1,1,1,1,1
81,1,[None],0.9229885057471264,1,16,0.8119863674307333,1,1,0,0,0,0,1,1,1,1,1,0,1
81,2,[None],0.8885057471264368,2,401,0.07547609303609105,1,1,1,1,1,1,1,1,1,0,1,1,1
81,3,[None],0.9563218390804598,1,433,0.6015138967314656,1,1,0,1,1,1,1,1,1,0,1,0,1
81,4,[None],0.8942528735632185,1,433,0.6015138967314656,1,1,1,1,1,1,1,1,1,1,1,0,1
81,5,[None],0.9143678160919539,5,93,0.969615043136794,1,1,1,1,0,0,1,1,1,1,0,1,1
81,6,[None],0.9111111111111112,3,49,0.6845487934856448,1,1,1,1,0,0,1,1,1,0,1,1,1
81,7,[None],0.9,1,433,0.6015138967314656,1,1,0,0,0,1,0,1,1,1,0,1,1
81,8,[None],0.9450000000000001,1,407,0.7071504865037695,1,1,0,0,0,1,1,1,1,0,1,1,1
81,9,[None],0.9322222222222222,1,454,0.48783911045307715,1,1,0,0,1,1,0,1,1,1,0,0,1
243,0,[None],0.9017241379310346,8,448,0.3004016308950663,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.8741379310344828,4,149,0.6689890730410414,1,1,1,1,0,1,1,1,1,1,1,1,1
243,2,[None],0.9758620689655173,1,407,1.0,1,1,1,0,0,0,1,1,0,0,1,0,1
243,3,[None],0.9103448275862069,1,451,0.3994342862223699,1,0,0,1,0,1,0,1,1,1,1,0,1
243,4,[None],0.9350574712643679,1,114,0.466722311740468,1,1,0,0,1,0,0,1,1,1,1,0,1
243,5,[None],0.9367816091954024,1,407,0.7071504865037695,1,1,0,0,0,0,1,1,1,1,1,0,1
243,6,[None],0.8911111111111112,7,156,0.5145288938724528,1,1,0,1,0,1,1,1,1,1,1,1,1
243,7,[None],0.925,1,455,0.48491462941364166,1,1,1,0,0,1,1,1,1,1,1,0,1
243,8,[None],0.8583333333333334,4,136,0.8289087716427774,1,1,1,1,0,1,1,1,1,1,1,1,1
243,9,[None],0.963888888888889,1,115,0.8427989976429356,1,1,0,1,0,0,1,1,1,0,1,0,1
729,0,[None],0.9212643678160919,2,356,0.7610242635682806,1,1,0,1,1,1,1,1,1,1,1,1,0
729,1,[None],0.9086206896551725,6,94,0.9862161050132487,1,1,0,1,0,1,1,1,1,1,1,0,1
729,2,[None],0.9563218390804599,1,407,0.7069785954431005,1,1,0,1,0,0,1,1,1,1,1,1,1
729,3,[None],0.9517241379310346,1,407,0.7071504865037695,1,1,0,0,0,0,1,1,1,1,1,1,1
