random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],0.8171487603305786,27,1,1,1,1,1,1,0,1,1,1,1,1
3,1,[None],0.8471074380165289,6,1,1,1,1,1,1,1,1,1,0,0,1
3,2,[None],0.8357438016528924,29,1,1,1,1,1,0,1,0,1,1,1,1
9,0,[None],0.8460743801652892,28,1,0,0,1,1,0,0,1,1,1,1,0
9,1,[None],0.9225206611570248,3,1,1,1,1,0,0,1,1,1,1,1,1
9,2,[None],0.8161157024793388,6,1,0,1,1,1,0,1,1,1,1,1,1
27,0,[None],0.8016528925619835,28,1,1,1,1,1,0,1,1,1,1,1,1
27,1,[None],0.8915289256198348,24,1,1,0,1,1,1,0,1,1,1,1,1
27,2,[None],0.7768595041322315,28,1,1,1,1,1,1,1,1,0,1,1,1
81,0,[None],0.9421487603305785,15,1,0,1,1,0,0,0,1,1,1,1,1
81,1,[None],0.7252066115702479,26,1,1,0,1,1,1,1,1,1,1,1,1
81,2,[None],0.7603305785123966,6,1,1,1,1,0,1,1,1,1,1,1,1
243,0,[None],0.7985537190082644,32,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.837809917355372,19,1,1,1,1,1,0,1,1,0,1,1,1
243,2,[None],0.8987603305785123,13,1,1,1,0,0,1,0,1,1,1,0,1
729,0,[None],0.8822314049586777,31,1,1,1,1,1,1,0,1,1,1,1,1
729,1,[None],0.8088842975206612,29,1,1,1,0,1,0,0,1,1,1,1,1
729,2,[None],0.7871900826446281,25,1,1,1,0,1,1,1,1,1,1,1,1
2187,0,[None],0.8801652892561984,16,1,1,1,0,1,0,1,1,1,1,0,1
2187,1,[None],0.8739669421487603,31,1,1,1,0,1,0,1,1,1,1,1,0
2187,2,[None],0.8171487603305785,24,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.790289256198347,26,1,1,1,1,1,0,1,1,0,1,1,1
6561,1,[None],0.8388429752066116,30,1,0,1,1,1,1,1,0,1,1,1,1
6561,2,[None],0.8326446280991736,20,1,1,1,1,1,1,1,1,1,1,1,0
19683,0,[None],0.8719008264462811,28,1,1,1,1,1,0,1,1,1,1,0,1
19683,1,[None],0.7830578512396695,31,1,0,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.8305785123966942,13,1,1,0,1,0,0,1,1,0,1,1,0
59049,0,[None],0.8677685950413223,29,1,0,1,1,1,1,1,1,1,0,1,1
59049,1,[None],0.871900826446281,9,1,1,1,1,0,0,0,1,1,1,1,0
59049,2,[None],0.7231404958677687,23,1,1,1,1,1,1,1,1,1,1,0,1
