random_seed,fold,threshold,roc_auc,C,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],0.7954545454545454,14.66400913623008,1,1,1,0,1,1,0,1,0,0,0,1,1
3,1,[None],0.8316115702479339,84.84032419577039,1,1,1,0,1,1,1,1,1,1,1,1,1
3,2,[None],0.828512396694215,2.5611834876056023,1,1,1,1,0,1,0,0,1,1,0,1,1
9,0,[None],0.8636363636363635,1.6058833574316522,1,1,0,0,0,0,0,0,0,0,0,0,0
9,1,[None],0.8997933884297521,95.07143556956098,1,0,1,1,1,1,1,1,1,0,0,0,1
9,2,[None],0.890495867768595,49.517741493436006,1,0,1,0,0,0,1,1,0,1,0,0,1
27,0,[None],0.8946280991735537,59.86588855385524,1,1,1,1,0,1,1,1,0,0,0,0,0
27,1,[None],0.9318181818181819,52.475690687580624,1,0,1,0,1,0,0,0,1,0,0,1,1
27,2,[None],0.7871900826446281,43.194558669709714,1,1,1,0,1,0,0,0,1,1,1,1,1
81,0,[None],0.9566115702479339,86.61762795987894,1,0,1,1,1,0,0,1,1,0,0,1,1
81,1,[None],0.7479338842975207,2.2655893335000337,1,1,1,1,1,1,1,1,1,1,0,1,1
81,2,[None],0.8419421487603306,73.19942098174633,1,1,1,1,1,1,1,1,0,0,0,0,0
243,0,[None],0.8450413223140496,2.0585473711308153,1,1,1,1,0,0,1,1,0,0,0,0,0
243,1,[None],0.8429752066115703,41.81165233220229,1,1,1,0,1,0,0,1,1,1,1,1,1
243,2,[None],0.8956611570247934,25.87807228200353,1,0,1,1,1,1,1,1,0,1,0,1,0
729,0,[None],0.9710743801652892,43.194558669709714,1,1,1,1,1,1,1,1,0,1,0,0,0
729,1,[None],0.9152892561983471,96.99098822521421,1,1,1,1,1,1,1,1,1,1,0,0,0
729,2,[None],0.8471074380165289,60.754524435658645,1,0,1,1,1,1,1,1,0,0,1,0,1
2187,0,[None],0.8636363636363636,2.0585473711308153,1,1,1,1,1,1,0,0,0,0,0,0,1
2187,1,[None],0.8264462809917356,0.5968543734638588,1,1,0,0,0,0,0,1,1,0,0,0,0
2187,2,[None],0.8863636363636364,66.25226218316976,1,0,1,1,1,1,1,1,1,1,0,0,0
6561,0,[None],0.8522727272727273,65.3458659861435,1,1,1,1,1,1,1,1,0,0,0,1,0
6561,1,[None],0.8429752066115703,51.42349241791732,1,0,1,1,1,1,1,0,0,0,0,1,1
6561,2,[None],0.9173553719008264,2.0585473711308153,1,1,1,0,1,0,1,0,1,0,0,0,0
19683,0,[None],0.9183884297520661,97.78619453086247,1,1,1,0,1,1,0,1,0,0,1,0,0
19683,1,[None],0.847107438016529,2.0585473711308153,1,0,1,1,1,1,1,1,0,0,0,1,1
19683,2,[None],0.8202479338842976,86.61762795987894,1,0,1,1,1,1,1,0,0,0,0,0,0
59049,0,[None],0.9276859504132231,2.7493458482330073,1,1,1,1,0,1,1,1,0,0,0,0,0
59049,1,[None],0.8987603305785123,9.767301633426985,1,1,1,0,1,0,1,0,0,1,0,1,1
59049,2,[None],0.8884297520661156,66.25226218316976,1,1,1,1,1,1,1,1,1,1,0,0,0
