random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],0.6446280991735538,3,1,1,1,1,1,1,1,1,0,0,1,1
3,1,[None],0.7727272727272727,12,1,1,1,1,1,1,0,1,1,1,0,1
3,2,[None],0.7004132231404959,34,1,1,0,1,0,1,1,0,0,0,1,1
9,0,[None],0.6900826446280992,37,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.590909090909091,38,1,1,1,1,1,1,1,0,1,0,1,1
9,2,[None],0.6528925619834711,34,0,1,1,1,1,1,1,1,0,1,1,1
27,0,[None],0.59400826446281,28,1,1,1,1,1,1,1,1,1,1,0,0
27,1,[None],0.5981404958677686,37,1,1,1,1,1,1,1,1,1,0,0,1
27,2,[None],0.6590909090909092,16,0,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.7014462809917356,35,1,1,1,1,1,1,1,0,1,1,1,1
81,1,[None],0.759297520661157,2,1,1,1,1,1,1,0,1,1,1,1,1
81,2,[None],0.5805785123966942,36,1,1,1,1,1,1,1,1,1,0,1,1
243,0,[None],0.6456611570247933,5,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.6797520661157024,9,1,0,0,0,1,1,1,0,1,0,1,1
243,2,[None],0.7066115702479339,6,1,1,1,1,1,0,1,0,0,1,1,1
729,0,[None],0.6363636363636364,32,1,1,0,1,0,0,1,1,1,1,1,1
729,1,[None],0.6053719008264464,22,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],0.6952479338842975,37,1,1,1,1,0,1,1,1,1,0,1,1
2187,0,[None],0.6363636363636365,1,1,1,1,0,1,1,1,1,1,1,1,0
2187,1,[None],0.7190082644628099,31,1,0,0,1,1,1,1,1,1,1,1,1
2187,2,[None],0.6549586776859503,3,1,1,1,1,1,1,1,0,1,1,1,1
6561,0,[None],0.6601239669421488,31,1,1,0,1,0,1,1,1,1,0,1,1
6561,1,[None],0.7272727272727273,3,1,1,1,1,1,1,1,1,1,1,0,1
6561,2,[None],0.5991735537190082,37,1,1,1,0,1,1,1,1,1,1,1,1
19683,0,[None],0.7045454545454545,1,0,1,1,1,0,0,1,1,1,1,1,1
19683,1,[None],0.6456611570247934,9,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.7944214876033057,3,1,1,0,0,1,1,0,0,1,0,1,1
59049,0,[None],0.828512396694215,3,1,1,1,1,1,0,0,0,1,1,1,1
59049,1,[None],0.6497933884297521,31,1,0,0,1,1,1,1,1,1,1,1,1
59049,2,[None],0.6208677685950413,3,1,1,0,1,1,1,1,1,1,1,1,1
