random_seed,fold,threshold,roc_auc,C,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],0.6921487603305786,0.12070194403683343,0,0,0,0,1,1,1,1,0,0,0,1,1
3,1,[None],0.7541322314049587,11.549828845766449,0,1,1,1,0,1,0,1,1,1,1,0,0
3,2,[None],0.6260330578512396,33.47441322138583,1,1,1,1,0,0,0,1,0,0,1,0,0
9,0,[None],0.6446280991735537,5.8084554084587285,0,0,0,0,0,1,1,1,0,1,0,1,0
9,1,[None],0.5867768595041322,18.182578538213342,1,1,1,0,0,1,0,1,0,1,0,1,0
9,2,[None],0.6714876033057852,95.07143556956098,0,0,1,1,1,0,0,1,0,1,0,1,1
27,0,[None],0.6033057851239669,5.8084554084587285,1,0,1,0,0,1,0,0,1,0,0,0,1
27,1,[None],0.6611570247933884,95.07143556956098,1,0,1,1,1,0,0,1,0,0,0,0,1
27,2,[None],0.6942148760330578,0.0001,1,0,0,0,0,0,0,0,1,0,0,0,0
81,0,[None],0.6673553719008264,7.76384709796645,0,0,1,1,0,1,0,1,0,0,0,0,0
81,1,[None],0.6818181818181819,15.601948442379607,0,0,1,1,0,0,0,1,1,1,0,1,1
81,2,[None],0.5723140495867769,95.07143556956098,1,0,1,1,0,0,0,1,0,0,0,0,0
243,0,[None],0.6590909090909092,6.15151022412984,0,0,1,1,0,0,1,0,0,0,0,1,1
243,1,[None],0.6322314049586777,0.0001,0,0,0,1,1,1,0,0,1,0,1,0,0
243,2,[None],0.6239669421487604,73.19942098174633,1,0,1,0,0,1,1,1,0,0,1,1,0
729,0,[None],0.6694214876033058,38.979127025643336,1,0,1,1,1,0,1,1,0,0,1,1,0
729,1,[None],0.7045454545454546,5.8084554084587285,1,0,1,0,1,0,0,1,0,0,0,0,0
729,2,[None],0.6838842975206612,21.233989833916546,1,0,0,0,1,1,0,1,1,0,0,1,0
2187,0,[None],0.6549586776859504,6.505252793368653,1,0,1,0,0,1,0,1,0,0,0,0,1
2187,1,[None],0.7086776859504131,7.963907094293141,0,0,1,1,1,0,1,1,0,0,1,0,1
2187,2,[None],0.5805785123966942,3.0415286721442714,0,0,0,0,0,0,0,1,1,0,0,0,0
6561,0,[None],0.6322314049586777,0.0001,0,1,0,0,0,1,0,0,0,1,1,0,0
6561,1,[None],0.609504132231405,2.441038133736471,0,0,1,0,1,0,0,1,1,1,1,0,0
6561,2,[None],0.7727272727272727,90.932049275838,1,1,1,1,0,1,0,1,0,0,1,0,1
19683,0,[None],0.7004132231404959,1.5157426429408896,1,0,0,0,0,1,0,1,0,0,0,0,0
19683,1,[None],0.5991735537190083,95.07143556956098,1,0,1,1,1,0,0,1,0,0,0,1,0
19683,2,[None],0.6590909090909091,0.0001,1,1,0,0,1,1,0,0,1,0,0,1,0
59049,0,[None],0.6363636363636364,73.19942098174633,1,0,1,1,1,0,1,0,0,0,0,0,1
59049,1,[None],0.671487603305785,0.0001,0,0,0,0,0,1,0,1,1,0,1,0,1
59049,2,[None],0.5909090909090909,0.0001,1,0,0,0,1,0,0,1,1,1,0,1,1
