random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],0.8264462809917354,3,25,0.22392046214070452,1,1,1,1,1,1,0,1,0,1,1,1
3,1,[None],0.8801652892561984,1,328,0.9028091403563189,1,0,1,0,1,1,1,0,0,1,0,1
3,2,[None],0.6601239669421488,9,482,0.8085889507683447,1,1,1,1,1,0,1,1,0,1,1,1
9,0,[None],0.8016528925619835,2,24,0.24371961031180353,0,1,1,1,1,1,0,1,1,1,1,1
9,1,[None],0.7520661157024794,6,443,0.4727427102367873,0,1,1,0,1,1,0,0,1,0,1,1
9,2,[None],0.6859504132231405,3,162,0.9292466019554798,1,1,1,0,1,1,1,1,1,1,1,1
27,0,[None],0.7159090909090909,1,433,0.6015138967314656,0,1,0,1,1,1,0,1,1,0,1,1
27,1,[None],0.8915289256198347,2,401,0.07547609303609105,1,1,0,1,1,0,0,1,0,0,1,1
27,2,[None],0.6911157024793388,3,259,0.7033159399362827,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.7985537190082644,1,17,0.5297691206430271,1,0,0,1,1,1,1,1,1,1,1,1
81,1,[None],0.7148760330578512,4,146,0.612241041827657,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.7241735537190083,2,356,0.7610242635682806,1,0,1,0,1,0,1,0,1,1,0,1
243,0,[None],0.7603305785123967,3,39,0.29046170146085426,1,0,1,0,0,1,0,0,0,0,0,1
243,1,[None],0.7252066115702479,5,240,0.5768087939109838,0,0,0,0,1,1,0,0,1,1,1,1
243,2,[None],0.6652892561983471,2,356,0.7610242635682806,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.743801652892562,6,385,0.49771074705291907,1,1,0,0,1,1,0,1,0,1,0,1
729,1,[None],0.7985537190082644,1,431,1.0,1,1,0,1,1,1,1,0,0,0,0,1
729,2,[None],0.7334710743801653,6,27,0.8315199547580527,0,0,0,0,1,0,0,1,0,0,0,1
2187,0,[None],0.7830578512396694,3,255,0.8817872487235845,0,1,1,1,1,0,0,0,0,0,0,0
2187,1,[None],0.8068181818181818,6,443,0.5586872194718308,1,1,1,0,0,1,0,0,0,0,0,1
2187,2,[None],0.8057851239669421,1,221,0.6609026887336779,0,0,1,0,1,0,0,0,0,0,0,1
6561,0,[None],0.6787190082644627,2,464,0.8083122591848525,1,1,1,0,1,0,0,1,0,1,1,1
6561,1,[None],0.7830578512396693,1,328,0.9028091403563189,1,0,0,1,1,1,1,0,0,0,0,1
6561,2,[None],0.8099173553719008,6,86,0.06598654139229423,0,0,0,1,0,0,1,1,1,0,0,1
19683,0,[None],0.7293388429752067,1,16,0.6367740008525166,0,1,0,1,0,0,0,0,0,0,0,1
19683,1,[None],0.7654958677685951,10,427,0.001,1,0,1,0,1,0,1,0,0,0,0,1
19683,2,[None],0.7768595041322315,2,401,0.2134626669593329,1,1,0,0,1,1,0,1,1,0,1,1
59049,0,[None],0.859504132231405,3,205,0.7557955874045056,1,1,1,1,1,0,1,1,1,0,1,1
59049,1,[None],0.7706611570247934,2,357,1.0,0,0,1,1,1,1,0,1,0,0,1,1
59049,2,[None],0.8533057851239669,2,466,0.5390176858119471,1,0,1,0,1,1,1,1,0,1,0,1
