random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.865702479338843,18,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
3,1,[None],0.9235537190082644,15,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.8636363636363636,13,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1
9,0,[None],0.9452479338842976,21,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.8997933884297521,4,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0
9,2,[None],0.8068181818181818,26,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
27,0,[None],0.8522727272727273,11,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.8884297520661157,27,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.8770661157024794,16,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
81,0,[None],0.9111570247933883,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.8057851239669421,18,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
81,2,[None],0.9214876033057852,11,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0
243,0,[None],0.8987603305785123,12,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
243,1,[None],0.8894628099173554,14,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
243,2,[None],0.9121900826446282,8,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.9524793388429752,23,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
729,1,[None],0.8502066115702479,18,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
729,2,[None],0.8378099173553719,14,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
2187,0,[None],0.8915289256198347,12,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0
2187,1,[None],0.9101239669421487,13,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0
2187,2,[None],0.8966942148760331,21,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
6561,0,[None],0.9142561983471074,13,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],0.8429752066115703,10,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1
6561,2,[None],0.8760330578512396,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],0.9679752066115702,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.8450413223140495,28,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
19683,2,[None],0.850206611570248,20,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1
59049,0,[None],0.9080578512396694,20,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.8832644628099173,23,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],0.8336776859504132,10,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
