random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.8047520661157024,3,249,0.3015774315069529,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1
3,1,[None],0.9834710743801653,1,432,0.5770573338420454,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
3,2,[None],0.8915289256198348,1,433,0.8220862036093376,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
9,0,[None],0.9524793388429752,4,485,0.9624848476471691,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1
9,1,[None],0.9318181818181819,9,482,0.8085889507683447,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
9,2,[None],0.933884297520661,1,406,0.550119652565048,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1
27,0,[None],0.8894628099173554,1,454,0.26210636213972177,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1
27,1,[None],0.9018595041322314,1,435,1.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.9483471074380165,1,221,0.6609026887336779,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
81,0,[None],0.9586776859504132,3,49,0.6845487934856448,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
81,1,[None],0.8915289256198348,1,454,0.2964991912644188,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
81,2,[None],0.9380165289256198,1,453,0.4105893260466956,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1
243,0,[None],0.9442148760330579,3,205,0.7557955874045056,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1
243,1,[None],0.8884297520661157,4,475,0.7322619478695936,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1
243,2,[None],0.9462809917355371,6,443,0.4420229355946318,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
729,0,[None],0.9834710743801652,1,114,0.8884543750932234,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0
729,1,[None],0.8223140495867769,3,49,0.6845487934856448,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
729,2,[None],0.9090909090909092,4,136,0.8289087716427774,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
2187,0,[None],0.9483471074380165,1,433,0.6015138967314656,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2187,1,[None],0.8966942148760331,1,328,0.9028091403563189,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1
2187,2,[None],0.9328512396694214,2,169,0.9429667942086066,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0
6561,0,[None],0.8904958677685951,1,452,0.42337920565135084,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1
6561,1,[None],0.871900826446281,6,385,0.4943018007680264,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.9101239669421488,1,453,0.9285920527124166,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0
19683,0,[None],0.9421487603305786,2,446,0.5398028996737351,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1
19683,1,[None],0.859504132231405,5,470,0.43310997043024463,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.8636363636363635,9,386,0.19951696585263823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
59049,0,[None],0.8904958677685951,6,387,0.14974803191038893,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
59049,1,[None],0.9483471074380164,3,49,0.6845487934856448,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
59049,2,[None],0.8533057851239669,6,385,0.4943018007680264,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
