random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.6157024793388428,34,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
3,1,[None],0.7809917355371901,24,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
3,2,[None],0.8181818181818182,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0
9,0,[None],0.6921487603305786,21,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
9,1,[None],0.5,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.7954545454545454,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
27,0,[None],0.6136363636363635,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.5454545454545454,39,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.6828512396694214,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.7355371900826447,14,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
81,1,[None],0.7045454545454545,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.6704545454545454,36,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
243,0,[None],0.7613636363636362,20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
243,1,[None],0.6694214876033059,15,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
243,2,[None],0.7954545454545454,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0
729,0,[None],0.6890495867768595,30,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0
729,1,[None],0.671487603305785,19,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],0.7293388429752066,2,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1
2187,0,[None],0.7045454545454545,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2187,1,[None],0.7107438016528925,33,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2187,2,[None],0.6921487603305786,2,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1
6561,0,[None],0.6353305785123967,19,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
6561,1,[None],0.7241735537190084,6,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1
6561,2,[None],0.7293388429752066,34,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
19683,0,[None],0.7221074380165289,17,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
19683,1,[None],0.6353305785123967,25,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
19683,2,[None],0.6373966942148761,17,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],0.7169421487603305,34,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.5712809917355373,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],0.7520661157024795,24,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
