random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__vr__count
3,0,[None],0.8543388429752067,30,1,0,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.9183884297520661,8,1,1,0,1,0,1,1,1,0,1,1,0,0,1
3,2,[None],0.9359504132231404,5,1,1,0,0,1,1,0,0,1,1,1,0,1,1
9,0,[None],0.9039256198347108,20,1,1,1,1,1,1,1,1,1,1,1,0,0,1
9,1,[None],0.9514462809917354,2,0,1,1,0,1,0,1,1,1,0,0,1,1,1
9,2,[None],0.859504132231405,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.8956611570247933,20,1,1,1,1,0,1,1,1,1,1,1,0,1,1
27,1,[None],0.9338842975206612,29,1,1,0,1,0,1,1,0,1,1,1,1,1,1
27,2,[None],0.8956611570247934,20,0,1,0,1,0,1,1,1,0,1,0,0,1,1
81,0,[None],0.9524793388429752,19,1,1,1,1,0,1,1,1,0,1,1,0,1,1
81,1,[None],0.7954545454545455,10,1,1,1,1,1,1,1,1,1,1,1,0,1,1
81,2,[None],0.8564049586776858,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.8522727272727274,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.9586776859504132,8,1,1,0,0,0,0,0,1,0,1,0,0,1,1
243,2,[None],0.9163223140495866,6,1,0,1,1,1,1,1,1,0,1,0,1,1,1
729,0,[None],0.984504132231405,4,0,0,1,1,1,1,1,1,1,0,1,0,1,1
729,1,[None],0.8698347107438018,27,1,1,1,0,0,1,0,1,1,1,1,1,1,1
729,2,[None],0.8760330578512397,24,1,1,1,1,1,0,1,1,1,0,0,1,1,1
2187,0,[None],0.9018595041322315,4,1,1,1,0,0,1,1,1,0,1,1,1,1,1
2187,1,[None],0.8791322314049587,27,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2187,2,[None],0.9070247933884298,13,1,1,1,1,1,1,1,1,1,0,1,0,1,1
6561,0,[None],0.8873966942148761,30,1,0,1,1,1,0,1,1,1,1,1,1,1,1
6561,1,[None],0.8863636363636364,29,1,1,1,1,1,0,1,0,1,1,0,1,1,1
6561,2,[None],0.921487603305785,18,1,1,0,1,1,0,1,1,1,1,1,1,1,1
19683,0,[None],0.9648760330578513,18,1,1,1,1,1,1,0,1,0,1,1,0,0,1
19683,1,[None],0.8326446280991735,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.8646694214876033,20,0,1,0,1,0,1,1,1,0,1,0,0,1,1
59049,0,[None],0.9669421487603306,18,1,1,0,0,0,0,0,1,0,1,1,1,0,1
59049,1,[None],0.9555785123966942,19,0,1,0,1,0,0,1,1,0,1,1,0,1,1
59049,2,[None],0.8212809917355371,18,1,1,0,1,1,1,0,1,1,1,1,0,1,1
