random_seed,fold,threshold,roc_auc,C,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__vr__count
3,0,[None],0.8925619834710744,3.9814847266557107,1,0,1,0,0,0,0,1,1,0,0,0,1,1
3,1,[None],0.9111570247933884,2.7199188511953523,0,1,1,1,0,0,1,1,0,0,0,0,0,1
3,2,[None],0.9297520661157025,2.4501000887548874,1,0,1,0,0,0,1,0,0,0,0,1,1,1
9,0,[None],0.9793388429752066,18.182578538213342,0,1,1,1,0,1,1,0,1,1,0,0,1,1
9,1,[None],0.9018595041322314,100.0,1,0,1,1,1,1,1,1,1,0,0,0,1,0
9,2,[None],0.9276859504132231,83.2442808357781,1,0,1,1,1,0,1,0,0,1,1,0,0,1
27,0,[None],0.9483471074380165,13.949472115818118,0,0,1,0,0,0,1,1,0,0,0,0,0,1
27,1,[None],0.9545454545454545,0.3030461440929847,0,0,0,0,0,0,0,0,0,0,0,0,1,1
27,2,[None],0.9101239669421488,22.128875027927702,0,1,1,1,0,1,1,0,0,0,1,1,0,1
81,0,[None],0.9834710743801652,37.45407443072437,1,0,0,1,0,0,1,0,0,0,0,1,1,1
81,1,[None],0.9018595041322314,95.07143556956098,1,0,1,1,0,0,1,1,0,0,0,1,1,1
81,2,[None],0.9462809917355371,1.4804518097037198,0,1,0,1,1,0,1,1,0,1,0,0,1,1
243,0,[None],0.9256198347107438,1.8843394422784958,0,0,1,1,0,0,1,1,0,0,0,0,0,1
243,1,[None],0.9338842975206612,15.601948442379607,1,0,1,0,1,1,1,1,0,1,0,1,1,1
243,2,[None],0.9194214876033059,1.2262642196976843,0,0,1,0,0,0,0,1,0,1,0,0,1,1
729,0,[None],1.0,4.6451366269585,1,1,1,0,1,0,1,1,0,0,1,1,1,1
729,1,[None],0.9214876033057852,39.23333471419364,1,1,1,1,1,1,1,0,0,0,0,1,0,1
729,2,[None],0.8987603305785123,31.171176437833484,1,0,1,1,1,1,1,1,0,1,0,0,0,1
2187,0,[None],0.9152892561983471,0.45240464021035093,1,0,1,1,0,1,0,0,0,1,0,0,1,1
2187,1,[None],0.9276859504132232,1.5603427324459211,1,1,1,0,0,0,1,1,1,1,0,0,0,1
2187,2,[None],0.9235537190082643,0.22765589866809738,0,0,0,0,0,0,0,1,0,0,0,0,1,1
6561,0,[None],0.9276859504132231,0.6409947437616224,0,1,1,0,1,1,1,1,0,0,0,0,0,1
6561,1,[None],0.884297520661157,5.8084554084587285,0,1,1,0,1,1,1,1,0,0,0,1,0,1
6561,2,[None],0.9442148760330578,2.9851029974025116,1,0,1,0,0,0,0,0,0,0,0,0,1,1
19683,0,[None],1.0,30.424293871729475,1,0,1,1,0,1,1,1,1,1,0,1,0,1
19683,1,[None],0.9194214876033058,13.949472115818118,0,0,1,1,0,1,1,0,0,0,0,1,1,1
19683,2,[None],0.8822314049586777,37.45407443072437,0,0,1,1,0,1,1,1,0,0,0,0,1,1
59049,0,[None],0.9504132231404958,2.295069072274145,1,1,1,0,1,1,1,1,1,1,0,0,0,1
59049,1,[None],0.9917355371900826,95.07143556956098,1,0,1,1,1,0,1,0,0,1,1,0,1,1
59049,2,[None],0.890495867768595,21.233989833916546,0,0,1,1,1,1,1,1,1,1,0,0,1,1
