random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__vr__count
3,0,[None],0.9080578512396694,1,16,0.6367740008525166,0,0,0,0,1,0,1,0,0,1,0,0,1,1
3,1,[None],0.9132231404958678,7,385,0.07497060708235627,1,1,1,1,1,0,1,1,1,0,1,1,1,1
3,2,[None],0.9462809917355371,1,408,0.8743946781425894,1,0,1,1,1,1,1,0,1,1,1,1,1,1
9,0,[None],0.9421487603305785,4,136,0.8289087716427774,1,1,1,0,0,1,0,1,0,1,0,0,1,1
9,1,[None],0.9545454545454546,1,433,0.6015138967314656,0,1,0,0,1,0,1,0,0,1,0,0,1,0
9,2,[None],0.9380165289256198,1,407,0.7071504865037695,1,1,1,0,1,0,1,1,1,1,1,1,1,0
27,0,[None],0.9504132231404958,1,433,0.7888621110060734,1,0,1,0,0,1,0,0,1,1,0,1,1,1
27,1,[None],0.9462809917355371,3,198,0.8605392575475337,1,1,0,1,1,1,0,1,1,1,1,1,1,1
27,2,[None],0.9442148760330579,5,93,0.969615043136794,1,0,0,1,1,0,1,1,1,1,1,1,1,1
81,0,[None],0.9628099173553719,3,198,0.8605392575475337,1,1,1,1,1,1,1,1,1,1,1,0,1,1
81,1,[None],0.896694214876033,3,259,0.7033159399362827,1,1,1,0,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.9204545454545454,1,449,0.4488433820779565,1,1,1,0,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.9421487603305786,1,345,0.4150513484610965,1,1,1,1,1,1,1,1,0,1,1,1,1,1
243,1,[None],0.9380165289256199,1,328,0.9028091403563189,1,1,1,0,0,0,1,0,0,0,1,0,1,1
243,2,[None],0.9235537190082644,4,451,0.3096660282839015,1,1,1,1,1,1,1,1,1,1,0,1,1,1
729,0,[None],0.962809917355372,6,369,0.8987598480537784,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],0.9349173553719009,2,169,0.9429667942086066,1,1,1,1,1,1,1,1,1,1,1,0,1,1
729,2,[None],0.9276859504132231,4,141,0.5431533870750902,1,1,0,1,0,1,0,0,0,0,0,1,1,1
2187,0,[None],0.96900826446281,4,146,0.612241041827657,1,1,1,1,1,0,1,0,0,1,1,1,1,1
2187,1,[None],0.9090909090909092,1,407,0.7071504865037695,1,1,0,0,0,0,0,1,1,1,1,0,0,1
2187,2,[None],0.9090909090909091,1,15,0.5817122473434722,1,1,1,1,1,1,1,1,1,1,0,1,1,1
6561,0,[None],0.9049586776859504,8,471,0.8752499812352105,1,1,1,1,0,1,1,1,1,1,1,1,1,1
6561,1,[None],0.8863636363636364,1,170,1.0,1,1,1,1,0,1,1,1,1,0,0,1,1,1
6561,2,[None],0.9442148760330579,7,385,0.07497060708235627,1,0,0,0,1,1,1,1,0,1,1,0,1,1
19683,0,[None],0.9824380165289256,2,169,0.9429667942086066,1,1,1,1,1,1,1,0,1,1,1,1,1,1
19683,1,[None],0.8502066115702479,1,433,0.6015138967314656,1,0,1,0,1,1,1,1,1,0,0,1,1,1
19683,2,[None],0.8977272727272727,3,208,0.35708092346344744,1,1,0,1,1,1,1,1,1,1,1,0,1,1
59049,0,[None],0.8760330578512396,2,464,0.8083122591848525,1,1,1,1,0,0,1,1,1,1,1,1,1,1
59049,1,[None],0.9493801652892563,7,469,0.8949325230772212,1,1,1,0,1,1,1,1,1,1,1,1,1,1
59049,2,[None],0.8657024793388429,3,249,0.3015774315069529,1,1,1,0,1,1,1,1,1,1,1,1,1,1
