random_seed,fold,threshold,roc_auc,C,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],,2.7249439435462866,1,1,1,1,1,1,1
3,1,[None],,95.07143556956098,1,1,1,1,1,1,1
3,2,[None],,0.0001,1,1,1,1,1,1,1
9,0,[None],,73.19942098174633,1,1,1,1,1,1,1
9,1,[None],,1.2607848192561735,1,1,1,1,1,1,1
9,2,[None],,0.0001,1,1,1,1,1,1,1
27,0,[None],,0.0001,1,1,1,1,1,1,1
27,1,[None],,99.40551933145625,1,1,1,1,1,1,1
27,2,[None],,0.0001,1,1,1,1,1,1,1
81,0,[None],,0.0001,1,1,1,1,1,1,1
81,1,[None],,0.0001,1,1,1,1,1,1,1
81,2,[None],,0.0001,1,1,1,1,1,1,1
243,0,[None],,9.767301633426985,1,1,1,1,1,1,1
243,1,[None],,52.475690687580624,1,1,1,1,1,1,1
243,2,[None],,15.601948442379607,1,1,1,1,1,1,1
729,0,[None],,0.0001,1,1,1,1,1,1,1
729,1,[None],,0.0001,1,1,1,1,1,1,1
729,2,[None],,73.19942098174633,1,1,1,1,1,1,1
2187,0,[None],,25.87807228200353,1,1,1,1,1,1,1
2187,1,[None],,0.8460401728307889,1,1,1,1,1,1,1
2187,2,[None],,0.0001,1,1,1,1,1,1,1
6561,0,[None],,1.3284902342620928,1,1,1,1,1,1,1
6561,1,[None],,1.7428115641053419,1,1,1,1,1,1,1
6561,2,[None],,0.0001,1,1,1,1,1,1,1
19683,0,[None],,0.0001,1,1,1,1,1,1,1
19683,1,[None],,7.679964601504826,1,1,1,1,1,1,1
19683,2,[None],,0.0001,1,1,1,1,1,1,1
59049,0,[None],,1.0626414597755158,1,1,1,1,1,1,1
59049,1,[None],,0.0001,1,1,1,1,1,1,1
59049,2,[None],,0.0001,1,1,1,1,1,1,1
