random_seed,fold,threshold,roc_auc,n_neighbors,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.7933884297520661,14,1,1,0,1,1,1,1
3,1,[None],0.8688016528925621,28,0,1,1,1,1,1,1
3,2,[None],0.7035123966942148,13,0,1,1,0,1,1,1
9,0,[None],0.9059917355371901,18,0,0,1,0,1,1,0
9,1,[None],0.7696280991735538,31,1,1,1,0,1,1,1
9,2,[None],0.6869834710743802,35,1,1,1,1,0,1,1
27,0,[None],0.8140495867768596,34,1,0,1,1,1,0,1
27,1,[None],0.8264462809917354,32,1,0,1,1,1,1,0
27,2,[None],0.7985537190082646,32,0,0,1,1,1,1,1
81,0,[None],0.8016528925619835,31,0,1,1,0,1,1,1
81,1,[None],0.8037190082644627,3,1,1,1,0,1,0,1
81,2,[None],0.8522727272727273,25,1,1,1,0,1,1,1
243,0,[None],0.8615702479338843,2,1,1,1,0,1,1,1
243,1,[None],0.8429752066115703,30,0,1,1,0,1,1,1
243,2,[None],0.8357438016528925,31,1,0,1,0,1,1,1
729,0,[None],0.8450413223140496,4,1,1,1,1,1,1,1
729,1,[None],0.8006198347107438,30,1,1,1,1,1,1,1
729,2,[None],0.8161157024793388,32,1,1,1,1,1,0,1
2187,0,[None],0.7727272727272727,29,1,1,0,1,1,1,1
2187,1,[None],0.9173553719008264,2,1,0,1,0,1,1,1
2187,2,[None],0.8233471074380165,32,1,1,1,1,1,1,1
6561,0,[None],0.9049586776859504,27,1,1,1,1,1,1,1
6561,1,[None],0.75,1,1,1,1,1,0,0,1
6561,2,[None],0.8357438016528925,34,0,0,1,0,1,0,1
19683,0,[None],0.9101239669421488,20,1,1,1,1,1,0,1
19683,1,[None],0.7376033057851241,2,1,1,1,1,1,1,1
19683,2,[None],0.7985537190082644,2,1,1,1,0,1,1,1
59049,0,[None],0.8677685950413223,31,0,0,1,1,1,1,1
59049,1,[None],0.8068181818181817,31,1,1,1,1,1,1,1
59049,2,[None],0.7851239669421488,32,1,1,1,1,1,0,1
