random_seed,fold,threshold,roc_auc,C,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.8223140495867769,2.7249439435462866,0,0,0,0,1,0,1
3,1,[None],0.8615702479338844,95.07143556956098,1,1,1,0,1,0,0
3,2,[None],0.75,0.0001,0,0,1,0,1,0,0
9,0,[None],0.9235537190082644,73.19942098174633,1,1,1,1,1,1,0
9,1,[None],0.7871900826446281,1.2607848192561735,0,0,1,1,1,0,1
9,2,[None],0.6900826446280991,0.0001,1,1,1,1,1,1,0
27,0,[None],0.8057851239669422,0.0001,0,0,1,0,1,1,0
27,1,[None],0.8037190082644629,99.40551933145625,1,1,0,0,1,0,0
27,2,[None],0.8057851239669421,0.0001,0,0,1,0,1,0,0
81,0,[None],0.7851239669421487,0.0001,0,0,1,0,1,0,0
81,1,[None],0.7520661157024793,0.0001,0,0,1,0,1,0,1
81,2,[None],0.8595041322314049,0.0001,0,0,1,1,1,0,0
243,0,[None],0.8212809917355373,9.767301633426985,1,1,1,1,1,1,1
243,1,[None],0.8161157024793388,52.475690687580624,0,1,0,1,1,0,1
243,2,[None],0.7892561983471075,15.601948442379607,0,0,1,1,1,0,1
729,0,[None],0.8119834710743802,0.0001,1,1,1,1,1,1,0
729,1,[None],0.8016528925619836,0.0001,0,0,1,0,1,0,0
729,2,[None],0.7665289256198347,73.19942098174633,0,1,0,1,1,0,0
2187,0,[None],0.7747933884297521,25.87807228200353,0,1,0,1,1,0,1
2187,1,[None],0.859504132231405,0.8460401728307889,0,0,1,0,1,0,1
2187,2,[None],0.7995867768595041,0.0001,1,0,1,1,1,0,1
6561,0,[None],0.9070247933884298,1.3284902342620928,0,0,1,0,1,0,1
6561,1,[None],0.7148760330578512,1.7428115641053419,0,0,0,0,1,0,1
6561,2,[None],0.8202479338842975,0.0001,0,0,1,1,1,0,0
19683,0,[None],0.9235537190082646,0.0001,0,0,1,0,1,1,0
19683,1,[None],0.7561983471074379,7.679964601504826,0,1,0,1,1,0,0
19683,2,[None],0.731404958677686,0.0001,0,0,0,0,1,0,1
59049,0,[None],0.828512396694215,1.0626414597755158,0,0,1,0,1,1,0
59049,1,[None],0.7933884297520661,0.0001,1,1,1,1,1,0,0
59049,2,[None],0.8037190082644629,0.0001,0,0,1,1,1,0,0
