random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.7954545454545454,3,254,0.9076589074521669,0,1,0,0,1,0,1
3,1,[None],0.8026859504132232,3,205,0.7557955874045056,1,1,1,1,1,1,1
3,2,[None],0.7964876033057852,6,435,0.8038684048222153,0,1,1,0,0,1,1
9,0,[None],0.9163223140495868,6,78,0.15683852581586644,1,0,1,0,1,0,0
9,1,[None],0.8037190082644629,3,486,0.9887525504651875,0,0,0,1,1,1,1
9,2,[None],0.6456611570247934,8,428,0.001,0,1,1,0,1,0,0
27,0,[None],0.7107438016528926,3,19,0.7016155531208783,0,0,0,0,1,1,1
27,1,[None],0.8429752066115703,3,19,0.609954769645917,0,1,1,1,1,1,0
27,2,[None],0.796487603305785,5,429,0.001,1,0,1,1,1,0,0
81,0,[None],0.7541322314049587,4,58,0.8632403224497179,1,1,1,1,1,1,1
81,1,[None],0.7262396694214877,1,16,0.2089966033984206,0,1,0,1,0,1,0
81,2,[None],0.8429752066115703,4,485,0.9624848476471691,0,1,0,1,0,1,1
243,0,[None],0.8171487603305785,5,163,0.4344237983135676,0,1,0,1,1,1,0
243,1,[None],0.8243801652892562,8,448,0.318685471496892,1,1,1,0,1,1,1
243,2,[None],0.7376033057851239,3,163,0.729876572159726,0,0,0,0,1,0,1
729,0,[None],0.881198347107438,3,254,0.9076589074521669,1,1,0,1,0,0,0
729,1,[None],0.8150826446280992,10,428,0.001,1,1,1,1,1,0,1
729,2,[None],0.7871900826446281,3,259,0.7033159399362827,1,1,1,1,1,1,1
2187,0,[None],0.7737603305785125,4,475,0.7322619478695936,1,1,1,1,1,1,0
2187,1,[None],0.8192148760330579,3,248,0.001,1,0,1,0,1,1,0
2187,2,[None],0.8316115702479339,6,10,0.8767124927119208,1,0,0,1,1,1,1
6561,0,[None],0.8409090909090909,1,407,0.7071504865037695,0,1,1,1,0,1,1
6561,1,[None],0.6962809917355373,2,356,0.7610242635682806,1,1,1,0,0,0,1
6561,2,[None],0.8223140495867768,8,430,0.007945178400659513,0,0,1,0,1,1,0
19683,0,[None],0.8677685950413222,1,17,0.48115769572201783,0,0,0,0,1,1,1
19683,1,[None],0.799586776859504,8,430,0.007945178400659513,0,0,1,1,0,1,0
19683,2,[None],0.7148760330578512,3,254,0.9076589074521669,1,0,1,1,1,1,1
59049,0,[None],0.8078512396694215,6,166,0.19994283308564717,1,1,1,1,1,1,1
59049,1,[None],0.8150826446280992,6,443,0.4727427102367873,1,1,0,1,0,1,1
59049,2,[None],0.743801652892562,1,17,0.09242279201989033,1,0,1,0,1,0,1
