random_seed,fold,threshold,roc_auc,n_neighbors,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.5981404958677686,34,1,1,1,1,1,1,0
3,1,[None],0.7241735537190083,21,1,1,1,1,1,1,1
3,2,[None],0.6291322314049588,17,1,1,1,1,1,1,1
9,0,[None],0.6797520661157024,32,0,1,1,1,1,1,0
9,1,[None],0.5578512396694215,21,1,1,1,1,1,1,1
9,2,[None],0.7262396694214877,2,1,1,1,1,1,1,1
27,0,[None],0.6973140495867768,23,1,0,1,1,1,0,1
27,1,[None],0.5981404958677686,29,0,1,1,0,1,1,1
27,2,[None],0.6621900826446281,20,1,1,1,1,1,1,1
81,0,[None],0.6601239669421487,21,1,1,1,1,1,1,1
81,1,[None],0.6487603305785123,25,0,1,0,1,1,1,1
81,2,[None],0.7252066115702479,18,1,1,1,1,1,1,1
243,0,[None],0.7613636363636362,24,1,1,1,1,1,1,1
243,1,[None],0.5878099173553719,18,1,1,1,1,1,1,1
243,2,[None],0.6208677685950413,12,1,1,1,1,1,1,1
729,0,[None],0.527892561983471,18,1,1,1,1,1,1,1
729,1,[None],0.8099173553719008,2,1,0,1,1,1,1,1
729,2,[None],0.6621900826446281,25,1,1,1,1,1,1,1
2187,0,[None],0.6921487603305785,26,1,1,1,1,1,1,1
2187,1,[None],0.6828512396694215,23,1,1,1,1,1,1,1
2187,2,[None],0.75,1,0,0,1,1,1,0,0
6561,0,[None],0.7500000000000002,1,1,1,0,1,1,1,0
6561,1,[None],0.6838842975206612,15,1,1,1,1,1,1,0
6561,2,[None],0.6590909090909091,34,1,1,1,1,1,1,1
19683,0,[None],0.6973140495867769,19,1,1,1,0,1,1,1
19683,1,[None],0.6425619834710743,17,1,1,1,1,1,1,1
19683,2,[None],0.7055785123966941,4,1,0,1,1,0,0,0
59049,0,[None],0.6280991735537189,18,1,1,1,1,1,1,1
59049,1,[None],0.5764462809917354,5,1,0,1,1,1,1,0
59049,2,[None],0.7551652892561983,23,1,1,1,0,1,1,1
