random_seed,fold,threshold,roc_auc,C,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.6694214876033058,2.0585473711308153,0,1,1,0,0,0,0
3,1,[None],0.6508264462809918,0.0001,0,1,0,0,1,0,1
3,2,[None],0.6425619834710744,100.0,0,1,1,0,1,0,0
9,0,[None],0.6528925619834711,0.006246156310427002,0,1,1,0,0,0,0
9,1,[None],0.5805785123966942,0.0001,0,1,0,0,1,0,0
9,2,[None],0.6818181818181818,6.505252793368653,0,1,1,1,0,0,0
27,0,[None],0.7086776859504132,0.5163941067767424,1,0,1,1,0,0,1
27,1,[None],0.6301652892561983,73.19942098174633,0,1,1,1,0,0,0
27,2,[None],0.7045454545454545,0.3570613035698198,0,1,0,1,0,0,0
81,0,[None],0.6756198347107438,1.3563829538235657,0,0,1,0,1,0,1
81,1,[None],0.634297520661157,6.956213695580757,0,1,1,1,1,0,0
81,2,[None],0.7066115702479339,0.825793568027915,0,1,1,1,0,1,1
243,0,[None],0.7252066115702479,0.0001,0,1,0,0,1,0,1
243,1,[None],0.6694214876033058,2.501065723254819,0,1,1,0,0,0,0
243,2,[None],0.6859504132231404,9.767301633426985,0,1,1,1,0,1,0
729,0,[None],0.5950413223140495,98.97822527193077,1,1,1,1,1,0,0
729,1,[None],0.6818181818181819,1.7569130442596097,0,1,0,1,0,0,1
729,2,[None],0.7066115702479339,10.903177385885197,0,1,1,0,0,1,0
2187,0,[None],0.71900826446281,15.601948442379607,1,1,1,0,1,1,1
2187,1,[None],0.6508264462809917,95.07143556956098,1,1,1,1,1,0,1
2187,2,[None],0.5867768595041322,16.485776982319262,0,0,1,0,1,0,0
6561,0,[None],0.6384297520661157,3.4389486726697283,1,1,1,1,0,1,1
6561,1,[None],0.6962809917355371,0.048219275969682805,0,1,1,0,1,0,1
6561,2,[None],0.628099173553719,1.3595456945792106,1,1,1,1,0,1,0
19683,0,[None],0.6425619834710744,1.082516335443906,0,1,1,0,0,0,1
19683,1,[None],0.6776859504132231,22.27199851682922,0,1,1,1,0,1,1
19683,2,[None],0.6198347107438016,1.677886863189523,0,1,1,0,0,0,0
59049,0,[None],0.6838842975206613,1.8059268110223419,0,0,1,0,1,1,0
59049,1,[None],0.518595041322314,59.86588855385524,0,1,1,1,0,1,0
59049,2,[None],0.7603305785123968,0.2559456215871928,1,1,1,1,1,1,1
