random_seed,fold,threshold,roc_auc,C,gamma,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.8047520661157025,11.177313694709966,28.405946574008198,1,0,1,1,1,0,0
3,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
3,2,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
9,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
9,1,[None],0.8388429752066117,2.4243056856864253,23.84417771715865,1,1,0,0,1,1,0
9,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
27,0,[None],0.6632231404958677,8.229158278011823,37.20060140482564,1,1,0,0,1,1,0
27,1,[None],0.7882231404958678,26.966275294570664,6.551644596569247,1,1,1,0,1,0,0
27,2,[None],0.6962809917355373,8.229158278011823,37.20060140482564,1,1,0,0,0,1,0
81,0,[None],0.5,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1
81,1,[None],0.5,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1
81,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
243,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
243,1,[None],0.5,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1
243,2,[None],0.5,72.21789079364363,118.88402914596948,1,1,1,1,1,1,1
729,0,[None],0.5,8.229158278011823,37.20060140482564,1,1,1,1,1,1,1
729,1,[None],0.756198347107438,37.273285001763064,1.6294603819606277,1,0,1,0,1,0,1
729,2,[None],0.7489669421487604,4.4237104279237,23.350262081253444,1,1,1,0,1,0,1
2187,0,[None],0.5,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1
2187,1,[None],0.7427685950413223,2.275012493201216,24.031965036550627,0,1,1,0,1,0,1
2187,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
6561,0,[None],0.6652892561983471,2.5780044013285215,23.807341411974658,1,1,0,0,1,0,1
6561,1,[None],0.7128099173553719,4.232622372681127,23.19233390501534,1,1,0,0,0,0,1
6561,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
19683,0,[None],0.6818181818181818,18.058699989463506,0.29359967629087586,0,0,1,1,0,1,1
19683,1,[None],0.7293388429752066,4.661177226841494,24.055770977327082,0,1,0,1,0,0,1
19683,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
59049,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
59049,1,[None],0.7272727272727273,11.85857029337167,21.136127926198668,1,1,0,0,0,1,0
59049,2,[None],0.5,97.49645056848438,172.22671570121483,1,1,1,1,1,1,1
