random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.7830578512396694,6,369,0.8987598480537784,0,1,1,1,1,1,1
3,1,[None],0.7727272727272727,2,446,0.5398028996737351,1,1,0,1,0,0,0
3,2,[None],0.7066115702479339,3,254,0.9117207738528958,0,0,1,1,1,0,1
9,0,[None],0.6931818181818182,6,435,0.8038684048222153,1,1,1,1,1,0,1
9,1,[None],0.5702479338842975,3,254,0.9076589074521669,1,1,1,1,1,1,1
9,2,[None],0.6973140495867769,4,410,0.6949969117197965,0,1,1,1,0,1,0
27,0,[None],0.746900826446281,2,356,0.7610242635682806,1,0,1,1,1,1,0
27,1,[None],0.44111570247933884,1,434,1.0,1,1,1,1,1,1,1
27,2,[None],0.7675619834710743,3,163,0.8103712250087497,1,0,0,1,1,0,1
81,0,[None],0.6838842975206612,3,19,0.5594927219438531,1,1,1,1,1,1,1
81,1,[None],0.6136363636363636,1,114,0.42768068083763006,1,1,1,0,0,1,1
81,2,[None],0.7530991735537191,2,356,0.7376542299387664,0,0,1,1,1,0,0
243,0,[None],0.7066115702479339,2,464,0.8083122591848525,1,0,1,1,0,0,1
243,1,[None],0.7179752066115703,3,253,1.0,1,1,1,1,1,1,1
243,2,[None],0.7086776859504131,1,114,0.42768068083763006,1,0,1,1,1,1,1
729,0,[None],0.5805785123966942,2,356,0.7610242635682806,1,1,1,1,1,1,1
729,1,[None],0.7706611570247934,2,146,0.36751913399943914,1,1,1,1,0,0,1
729,2,[None],0.6962809917355373,1,16,0.6367740008525166,0,0,0,1,1,0,1
2187,0,[None],0.7138429752066116,5,26,0.27936781777237485,0,1,1,1,1,1,1
2187,1,[None],0.6694214876033058,2,169,0.9429667942086066,1,1,1,1,1,1,1
2187,2,[None],0.7479338842975206,1,407,0.7071504865037695,1,1,0,0,1,1,1
6561,0,[None],0.7489669421487604,8,10,1.0,1,1,1,1,0,0,1
6561,1,[None],0.7985537190082644,5,384,0.5189568683083392,1,0,1,1,1,1,0
6561,2,[None],0.683884297520661,1,456,0.275087369445796,1,1,1,1,1,1,1
19683,0,[None],0.703512396694215,3,19,0.609954769645917,1,0,0,0,1,0,0
19683,1,[None],0.7024793388429752,3,254,0.9076589074521669,1,1,1,1,1,0,0
19683,2,[None],0.6735537190082644,4,482,0.8798669456874045,1,1,1,0,0,1,1
59049,0,[None],0.8285123966942147,8,430,0.007945178400659513,0,1,1,0,0,0,1
59049,1,[None],0.6260330578512396,2,169,0.9429667942086066,0,0,1,1,0,0,1
59049,2,[None],0.8388429752066116,2,23,0.3260050004325011,1,0,0,1,1,1,0
