random_seed,fold,threshold,roc_auc,n_neighbors,Animales__vr__count,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.8533057851239669,15,1,1,1,0,1,1,1,1
3,1,[None],0.8863636363636365,1,1,1,1,1,1,1,1,1
3,2,[None],0.9483471074380164,2,1,0,0,1,0,1,0,0
9,0,[None],0.993801652892562,4,1,1,0,1,1,1,1,0
9,1,[None],0.8708677685950413,33,1,0,0,1,0,1,1,1
9,2,[None],0.8760330578512396,2,1,0,0,1,0,1,0,0
27,0,[None],0.9028925619834711,2,1,0,1,1,1,1,1,1
27,1,[None],0.8884297520661156,20,1,1,1,1,1,0,0,0
27,2,[None],0.8419421487603307,3,1,1,1,1,1,1,1,1
81,0,[None],0.8512396694214877,34,1,0,1,1,1,1,1,1
81,1,[None],0.8987603305785125,3,1,0,0,1,0,1,0,1
81,2,[None],0.9121900826446281,29,1,1,1,1,0,1,1,1
243,0,[None],0.921487603305785,2,1,1,0,1,1,1,1,1
243,1,[None],0.8460743801652892,17,1,1,0,1,1,1,1,1
243,2,[None],0.902892561983471,4,1,0,0,0,1,0,1,1
729,0,[None],0.9369834710743801,4,1,0,1,1,1,1,1,1
729,1,[None],0.8481404958677686,30,1,1,0,1,1,0,1,1
729,2,[None],0.8636363636363636,1,1,1,1,1,1,1,1,1
2187,0,[None],0.8770661157024794,20,1,0,0,0,1,0,1,1
2187,1,[None],0.9566115702479339,3,1,0,0,1,1,1,1,1
2187,2,[None],0.8646694214876033,4,1,1,1,1,0,1,1,1
6561,0,[None],0.9421487603305785,20,1,1,0,1,1,0,1,1
6561,1,[None],0.8636363636363636,1,1,1,1,1,0,1,0,1
6561,2,[None],0.8832644628099174,2,1,1,1,1,1,1,1,1
19683,0,[None],0.9462809917355371,20,1,1,1,1,1,0,1,1
19683,1,[None],0.9400826446280992,2,1,0,0,1,1,1,0,1
19683,2,[None],0.893595041322314,2,1,1,0,1,1,1,1,1
59049,0,[None],0.8977272727272727,3,1,1,0,1,1,1,1,1
59049,1,[None],0.9008264462809916,7,1,0,1,1,1,1,0,1
59049,2,[None],0.8615702479338843,34,1,0,1,1,1,1,0,1
