random_seed,fold,threshold,roc_auc,C,Animales__vr__count
3,0,[None],0.9039256198347108,0.0001,1
3,1,[None],0.9070247933884298,0.0001,1
3,2,[None],0.9235537190082646,0.0001,1
9,0,[None],0.956611570247934,0.0001,1
9,1,[None],0.8863636363636364,0.0001,1
9,2,[None],0.8822314049586777,0.13246273483162377,1
27,0,[None],0.9318181818181819,0.08100342416651786,1
27,1,[None],0.9235537190082644,0.0001,1
27,2,[None],0.8729338842975206,37.45407443072437,1
81,0,[None],0.9297520661157024,0.0001,1
81,1,[None],0.8729338842975206,0.0027299867376182774,1
81,2,[None],0.9359504132231405,0.0001,1
243,0,[None],0.8966942148760331,0.0001,1
243,1,[None],0.9256198347107438,2.0585473711308153,1
243,2,[None],0.9018595041322315,0.0001,1
729,0,[None],0.9607438016528925,37.45407443072437,1
729,1,[None],0.8801652892561983,0.0001,1
729,2,[None],0.8791322314049587,0.0001,1
2187,0,[None],0.9132231404958677,0.0001,1
2187,1,[None],0.9400826446280992,0.0001,1
2187,2,[None],0.9008264462809917,0.00010000000000000005,1
6561,0,[None],0.9338842975206612,0.0001,1
6561,1,[None],0.8770661157024793,37.45407443072437,1
6561,2,[None],0.9090909090909092,37.45407443072437,1
19683,0,[None],0.9917355371900828,95.07143556956098,1
19683,1,[None],0.8811983471074379,0.0001,1
19683,2,[None],0.8543388429752066,2.0585473711308153,1
59049,0,[None],0.9307851239669422,0.0001,1
59049,1,[None],0.9152892561983471,0.0001,1
59049,2,[None],0.8760330578512396,0.0001,1
