random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__vr__count
3,0,[None],0.8305785123966942,7,11,0.9699399423098324,1
3,1,[None],0.8522727272727273,6,78,0.15683852581586644,1
3,2,[None],0.84400826446281,1,16,0.6367740008525166,1
9,0,[None],0.8966942148760332,3,49,0.702788700831848,1
9,1,[None],0.8646694214876034,7,469,0.8949325230772212,1
9,2,[None],0.7995867768595042,1,18,0.524613246222298,1
27,0,[None],0.8884297520661157,3,19,0.609954769645917,1
27,1,[None],0.8894628099173554,4,21,0.001,1
27,2,[None],0.8109504132231404,8,430,0.007945178400659513,1
81,0,[None],0.8543388429752066,4,16,1.0,1
81,1,[None],0.7768595041322315,1,16,0.5772616090710907,1
81,2,[None],0.9338842975206612,5,93,0.969615043136794,1
243,0,[None],0.8429752066115702,4,385,1.0,1
243,1,[None],0.8853305785123967,7,11,0.9699399423098324,1
243,2,[None],0.8243801652892563,2,23,0.3260050004325011,1
729,0,[None],0.9452479338842975,3,205,0.7557955874045056,1
729,1,[None],0.8212809917355373,1,16,0.46916032301218424,1
729,2,[None],0.8047520661157026,9,428,0.001,1
2187,0,[None],0.8760330578512396,5,296,0.047403962307277725,1
2187,1,[None],0.8832644628099173,8,430,0.007945178400659513,1
2187,2,[None],0.8646694214876033,8,40,0.8279282291510759,1
6561,0,[None],0.8739669421487604,7,11,0.9699399423098324,1
6561,1,[None],0.840909090909091,1,23,0.34378949558221483,1
6561,2,[None],0.8419421487603306,1,16,0.6367740008525166,1
19683,0,[None],0.9855371900826446,4,475,0.7322619478695936,1
19683,1,[None],0.8099173553719008,10,428,0.001,1
19683,2,[None],0.8016528925619835,1,16,0.6367740008525166,1
59049,0,[None],0.875,6,86,0.06598654139229423,1
59049,1,[None],0.871900826446281,7,469,0.8949325230772212,1
59049,2,[None],0.8006198347107438,1,14,0.5769324490000093,1
