random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,P__properties__granularidad_promedio,P__properties__granularidad_std
3,0,[None],0.7747933884297521,3,19,0.609954769645917,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
3,1,[None],0.8367768595041322,1,407,0.7071504865037695,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
3,2,[None],0.5805785123966942,3,259,0.7033159399362827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
9,0,[None],0.8099173553719008,2,24,0.29126500360915053,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
9,1,[None],0.5764462809917356,5,486,0.963277976729621,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
9,2,[None],0.7954545454545454,1,435,1.0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1
27,0,[None],0.53099173553719,3,382,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
27,1,[None],0.9194214876033058,1,221,0.6609026887336779,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1
27,2,[None],0.7386363636363636,1,454,0.5218479513774872,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.7665289256198348,2,466,0.5390176858119471,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
81,1,[None],0.615702479338843,3,163,0.729876572159726,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1
81,2,[None],0.6766528925619834,2,13,0.001,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
243,0,[None],0.7417355371900827,6,78,0.15683852581586644,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
243,1,[None],0.8801652892561983,1,433,0.5126039426270661,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0
243,2,[None],0.7954545454545454,1,454,0.7269423826254328,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1
729,0,[None],0.6580578512396693,2,356,0.7610242635682806,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],0.9008264462809917,1,433,0.5293987838094217,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1
729,2,[None],0.46900826446280997,4,485,0.9624848476471691,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
2187,0,[None],0.7293388429752066,2,356,0.7707341352745188,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1
2187,1,[None],0.8429752066115702,1,407,0.7071504865037695,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0
2187,2,[None],0.5929752066115703,9,482,0.8085889507683447,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
6561,0,[None],0.6921487603305785,2,170,1.0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1
6561,1,[None],0.8429752066115702,1,454,0.7336392959252279,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0
6561,2,[None],0.7076446280991735,2,356,0.7258721782696431,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
19683,0,[None],0.7541322314049588,1,16,0.6367740008525166,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1
19683,1,[None],0.8553719008264463,1,454,0.9833946560372011,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1
19683,2,[None],0.7851239669421488,1,221,0.6609026887336779,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1
59049,0,[None],0.8264462809917354,3,254,0.9076589074521669,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
59049,1,[None],0.756198347107438,5,434,0.6988798446690839,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1
59049,2,[None],0.7975206611570248,9,13,0.9768365745407,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
