random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,Animales__properties__osv,P__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,P__properties__granularidad_promedio,P__properties__granularidad_std,Animales__vr__count,P__vr__count,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],0.871900826446281,8,430,0.007945178400659513,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
3,1,[None],0.9380165289256198,1,345,0.4150513484610965,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,2,[None],0.9297520661157025,2,466,0.5390176858119471,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],0.9545454545454545,5,470,0.43310997043024463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1
9,1,[None],0.921487603305785,6,435,0.8038684048222153,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
9,2,[None],0.9090909090909092,1,345,0.4150513484610965,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
27,0,[None],0.8739669421487604,3,254,0.9076589074521669,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
27,1,[None],0.8966942148760331,5,392,0.2004741083762014,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
27,2,[None],0.9214876033057852,1,16,0.6367740008525166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1
81,0,[None],0.9834710743801652,6,435,0.8038684048222153,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
81,1,[None],0.8367768595041323,6,78,0.15683852581586644,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1
81,2,[None],0.9752066115702479,1,433,0.6015138967314656,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.9710743801652891,1,433,0.6015138967314656,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.9173553719008264,1,16,0.6367740008525166,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
