random_seed,fold,threshold,roc_auc,C,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],,1.5970410081755526,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,0.39582821413311187,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,37.45407443072437,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,37.45407443072437,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,1.5109309800309185,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,21.233989833916546,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,36.63624769318484,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,66.25226218316976,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,0.08488209455268973,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,52.475690687580624,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,3.0999815984724934,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,52.475690687580624,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,24.895725447621434,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,0.18357400489072656,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,10.874655600907987,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,1.5698508312583366,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,52.00685011097897,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,0.9971055927879193,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,1.3822831571722731,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,13.949472115818118,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,2.877116047611266,1,1,1,1,1,1,1,1,1,1,1,1,1,1
