random_seed,fold,threshold,roc_auc,n_neighbors,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],0.828512396694215,27,0,1,1,1,1,1,1,0,1,1,1,0,1,1
3,1,[None],0.8646694214876033,21,1,0,1,0,0,1,1,1,1,1,1,1,1,0
3,2,[None],0.6642561983471074,15,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9,0,[None],0.8512396694214877,26,1,1,1,1,1,1,1,1,1,1,1,1,0,1
9,1,[None],0.7882231404958677,37,1,0,1,0,1,1,0,1,1,1,1,1,0,1
9,2,[None],0.6880165289256197,30,1,0,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.7871900826446281,28,1,1,1,1,1,0,1,1,1,1,1,1,1,1
27,1,[None],0.8295454545454546,29,1,1,1,0,1,0,1,1,1,1,1,1,1,1
27,2,[None],0.7241735537190083,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.7572314049586777,38,1,1,1,0,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.7117768595041323,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.8305785123966942,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.7840909090909091,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.8109504132231404,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],0.7727272727272727,11,1,1,1,1,1,1,1,1,1,1,1,1,0,1
729,0,[None],0.8192148760330579,34,1,0,1,1,1,1,1,0,1,1,1,0,1,1
729,1,[None],0.7438016528925621,7,1,1,0,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],0.759297520661157,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.7654958677685951,14,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2187,1,[None],0.8708677685950414,28,0,1,1,1,1,1,1,1,0,1,1,1,1,1
2187,2,[None],0.7954545454545454,29,1,0,1,1,1,1,0,1,1,1,1,1,1,1
6561,0,[None],0.8966942148760331,22,1,1,1,0,1,1,0,1,1,1,1,1,1,1
6561,1,[None],0.7985537190082646,33,1,0,1,0,1,1,1,0,1,0,0,0,1,1
6561,2,[None],0.7747933884297521,12,1,0,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],0.8977272727272727,32,1,1,1,0,1,1,1,0,1,0,1,1,1,0
19683,1,[None],0.75,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.7045454545454545,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
59049,0,[None],0.8068181818181819,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.7758264462809917,35,1,1,1,0,1,1,1,1,1,1,1,1,1,1
59049,2,[None],0.7778925619834711,26,1,1,1,1,1,1,1,1,1,1,1,0,1,1
