random_seed,fold,threshold,roc_auc,n_neighbors,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],0.6900826446280992,20,1,1,1,1,1,0,1,1,0,1,1,1,1,1
3,1,[None],0.7314049586776861,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.628099173553719,14,1,1,1,1,1,1,1,1,1,0,1,1,0,1
9,0,[None],0.606404958677686,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.6002066115702479,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.6776859504132231,2,1,1,1,0,1,0,1,1,1,1,1,1,1,1
27,0,[None],0.7272727272727273,26,1,1,1,1,1,1,1,0,1,0,1,1,1,1
27,1,[None],0.6291322314049588,30,1,1,0,0,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.6694214876033058,9,1,1,1,1,1,0,1,1,1,1,1,1,1,1
81,0,[None],0.6787190082644629,22,1,0,1,1,1,0,1,0,1,1,1,1,0,1
81,1,[None],0.625,19,1,1,1,1,0,0,1,1,1,1,1,1,1,1
81,2,[None],0.6508264462809917,34,1,1,1,1,1,1,1,1,1,1,1,0,1,1
243,0,[None],0.6776859504132231,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.7024793388429752,19,1,1,0,1,1,1,1,1,1,1,1,1,1,0
243,2,[None],0.6621900826446281,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.6332644628099173,33,1,1,1,0,1,1,1,1,1,0,0,1,1,1
729,1,[None],0.6921487603305785,34,1,0,1,1,1,0,1,1,1,1,1,1,1,1
729,2,[None],0.7148760330578512,19,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2187,0,[None],0.7303719008264462,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2187,1,[None],0.6012396694214875,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.6177685950413223,28,0,1,1,1,1,1,1,1,1,1,1,0,1,1
6561,0,[None],0.7448347107438016,24,1,1,1,1,0,1,1,1,0,1,1,1,0,1
6561,1,[None],0.7727272727272727,34,0,0,1,0,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.6921487603305786,9,1,1,1,1,0,1,1,0,1,0,1,1,1,1
19683,0,[None],0.6373966942148761,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.6704545454545454,23,1,1,1,1,1,1,1,1,1,0,1,1,1,1
19683,2,[None],0.6353305785123967,20,1,1,1,1,1,0,1,0,1,0,1,0,1,0
59049,0,[None],0.65599173553719,6,1,1,1,1,0,1,1,1,1,1,1,1,1,0
59049,1,[None],0.5743801652892562,14,1,1,1,1,1,0,1,1,1,1,1,1,0,1
59049,2,[None],0.7241735537190082,22,1,1,1,1,1,0,1,1,1,1,1,1,1,1
