random_seed,fold,threshold,roc_auc,C,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],0.6962809917355373,0.09228797088805774,0,0,1,0,1,1,0,0,0,0,0,0,0,1
3,1,[None],0.6900826446280992,0.0001,0,1,1,0,0,0,0,0,1,0,1,1,1,0
3,2,[None],0.6859504132231405,13.949472115818118,1,1,1,0,1,1,1,0,1,0,0,0,0,1
9,0,[None],0.7169421487603306,0.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,1,[None],0.7086776859504132,51.42349241791732,0,1,1,1,1,1,0,0,1,0,0,0,0,1
9,2,[None],0.6735537190082646,1.5113744574960257,0,0,1,0,1,0,0,0,1,0,1,1,1,0
27,0,[None],0.6952479338842976,4.6451366269585,1,0,0,1,1,1,1,0,0,1,0,0,1,0
27,1,[None],0.7210743801652892,19.967458248457756,0,0,1,0,1,1,1,0,1,1,0,0,0,1
27,2,[None],0.7830578512396694,0.36631108993268824,0,0,1,0,0,0,1,0,0,0,0,0,0,1
81,0,[None],0.7541322314049587,4.016087166784582,0,0,1,0,1,1,1,0,0,1,0,0,0,1
81,1,[None],0.609504132231405,2.83945311332119,1,0,1,0,1,0,0,0,0,0,0,1,0,0
81,2,[None],0.731404958677686,0.0001,0,0,1,0,1,1,1,0,0,0,0,0,0,0
243,0,[None],0.7252066115702479,0.0001,0,0,1,0,0,0,0,0,1,0,0,0,1,0
243,1,[None],0.7004132231404958,0.6993302784374377,0,1,1,0,1,1,0,0,0,0,1,0,0,1
243,2,[None],0.7871900826446281,60.111541062819704,0,1,1,1,1,1,1,0,0,0,1,0,0,0
729,0,[None],0.6363636363636364,43.194558669709714,1,0,1,0,1,0,1,1,1,0,0,0,0,0
729,1,[None],0.6528925619834711,0.0001,0,0,1,0,1,1,0,0,1,0,0,0,1,0
729,2,[None],0.787190082644628,0.3194820975503287,0,0,1,0,1,0,0,0,1,0,1,0,0,1
2187,0,[None],0.8223140495867769,1.188222952709914,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2187,1,[None],0.7221074380165289,95.07143556956098,1,0,1,1,1,0,1,1,1,1,0,0,0,1
2187,2,[None],0.621900826446281,0.4774862110712704,0,0,0,0,1,1,0,0,1,0,0,0,0,0
6561,0,[None],0.7231404958677685,0.2949621085400321,1,0,1,1,1,0,1,0,1,0,0,1,0,0
6561,1,[None],0.7024793388429752,0.0001,0,0,1,0,1,1,0,0,1,0,0,0,1,1
6561,2,[None],0.7293388429752066,0.6262839291682669,1,0,1,0,1,1,1,0,1,1,1,0,0,1
19683,0,[None],0.6797520661157026,4.6451366269585,0,1,1,0,1,1,1,0,0,0,0,0,1,0
19683,1,[None],0.7066115702479339,0.6620541674895934,0,0,1,0,1,0,0,0,1,0,0,1,0,1
19683,2,[None],0.6756198347107438,1.373094046004102,1,1,1,1,1,1,0,1,1,1,0,0,0,0
59049,0,[None],0.7231404958677686,0.6822036810854556,0,1,1,0,1,1,0,0,0,0,1,0,0,1
59049,1,[None],0.6508264462809917,100.0,0,1,1,1,1,1,1,0,1,1,0,1,0,1
59049,2,[None],0.7768595041322314,0.11095369313735912,0,0,1,0,0,0,1,0,1,0,0,0,0,0
