random_seed,fold,threshold,roc_auc,n_neighbors,Animales__vr__count,P__vr__count,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],0.856404958677686,13,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
3,1,[None],0.9090909090909092,20,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
3,2,[None],0.8078512396694215,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],0.9411157024793387,24,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
9,1,[None],0.8202479338842975,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
9,2,[None],0.7706611570247934,13,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
27,0,[None],0.8698347107438016,27,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
27,1,[None],0.8708677685950413,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.840909090909091,11,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
81,0,[None],0.8181818181818181,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.762396694214876,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.9183884297520661,26,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
243,0,[None],0.8822314049586777,26,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
243,1,[None],0.8760330578512396,18,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
243,2,[None],0.8367768595041322,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.9555785123966942,4,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0
729,1,[None],0.8130165289256198,29,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
729,2,[None],0.8667355371900827,13,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
2187,0,[None],0.8884297520661157,15,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
2187,1,[None],0.9039256198347108,28,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0
2187,2,[None],0.8677685950413223,24,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1
6561,0,[None],0.9338842975206612,31,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
6561,1,[None],0.7944214876033058,18,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
6561,2,[None],0.8398760330578512,32,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
19683,0,[None],0.9338842975206612,15,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
19683,1,[None],0.8378099173553718,26,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1
19683,2,[None],0.8522727272727273,28,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0
59049,0,[None],0.8987603305785125,34,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
59049,1,[None],0.9049586776859504,15,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1
59049,2,[None],0.8388429752066117,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
