random_seed,fold,threshold,roc_auc,C,Animales__vr__count,P__vr__count,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],0.9039256198347109,60.111541062819704,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
3,1,[None],0.9369834710743802,2.6507269576240375,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
3,2,[None],0.9400826446280992,0.39865327604130635,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
9,0,[None],0.9793388429752066,6.505252793368653,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1
9,1,[None],0.8884297520661156,0.2521633952373043,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
9,2,[None],0.8770661157024794,3.8002992801782867,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1
27,0,[None],0.9504132231404958,15.601948442379607,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1
27,1,[None],0.9752066115702478,15.601948442379607,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0
27,2,[None],0.8553719008264463,21.233989833916546,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0
81,0,[None],0.9834710743801652,95.07143556956098,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1
81,1,[None],0.8863636363636365,0.22356979802564478,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1
81,2,[None],0.9483471074380166,86.61762795987894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.9256198347107438,1.263381816637764,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
243,1,[None],0.9586776859504132,3.4389486726697283,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0
243,2,[None],0.8956611570247934,99.86095915034103,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0
729,0,[None],0.9483471074380164,0.27557174557120223,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0
729,1,[None],0.8791322314049586,17.052495316316783,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0
729,2,[None],0.9090909090909091,1.7293853185345833,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
2187,0,[None],0.9483471074380165,15.601948442379607,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0
2187,1,[None],0.9070247933884298,0.5641127356022668,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
2187,2,[None],0.9276859504132232,18.182578538213342,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
6561,0,[None],0.9586776859504132,21.233989833916546,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0
6561,1,[None],0.9266528925619835,21.307044892883006,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0
6561,2,[None],0.8884297520661157,0.581030989208868,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0
19683,0,[None],0.987603305785124,2.0585473711308153,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1
19683,1,[None],0.9152892561983471,29.12298489689017,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0
19683,2,[None],0.8677685950413223,0.8211806705586894,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1
59049,0,[None],0.9586776859504132,2.0585473711308153,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0
59049,1,[None],0.9049586776859504,21.233989833916546,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
59049,2,[None],0.8863636363636364,86.61762795987894,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1
