random_seed,fold,threshold,roc_auc,n_neighbors,Animales__vr__count,P__vr__count
3,0,[None],0.9049586776859505,24,1,0
3,1,[None],0.9132231404958678,26,1,1
3,2,[None],0.9028925619834711,6,1,1
9,0,[None],0.9607438016528925,17,1,0
9,1,[None],0.8946280991735538,33,1,1
9,2,[None],0.8966942148760331,5,1,1
27,0,[None],0.9390495867768596,26,1,0
27,1,[None],0.9566115702479339,36,1,1
27,2,[None],0.8636363636363636,33,1,1
81,0,[None],0.9276859504132231,5,1,1
81,1,[None],0.8584710743801653,24,1,0
81,2,[None],0.9524793388429752,16,1,0
243,0,[None],0.9297520661157026,30,1,1
243,1,[None],0.9225206611570248,17,1,1
243,2,[None],0.9111570247933884,5,1,1
729,0,[None],0.9648760330578513,26,1,1
729,1,[None],0.8791322314049587,18,1,0
729,2,[None],0.8770661157024794,28,1,0
2187,0,[None],0.9080578512396695,18,1,0
2187,1,[None],0.9297520661157025,25,1,1
2187,2,[None],0.8997933884297521,26,1,0
6561,0,[None],0.9462809917355371,29,1,1
6561,1,[None],0.8729338842975206,31,1,1
6561,2,[None],0.9152892561983471,32,1,0
19683,0,[None],0.9876033057851239,14,1,0
19683,1,[None],0.8780991735537189,31,1,0
19683,2,[None],0.8708677685950413,27,1,1
59049,0,[None],0.9225206611570248,33,1,0
59049,1,[None],0.9245867768595042,5,1,1
59049,2,[None],0.8760330578512397,25,1,0
