random_seed,fold,threshold,roc_auc,C,Animales__vr__count,P__vr__count
3,0,[None],0.893595041322314,37.45407443072437,1,0
3,1,[None],0.9204545454545454,15.601948442379607,1,1
3,2,[None],0.9173553719008264,2.5027312883287074,1,0
9,0,[None],0.9545454545454546,2.0585473711308153,1,1
9,1,[None],0.8842975206611571,5.8084554084587285,1,1
9,2,[None],0.8760330578512396,37.45407443072437,1,0
27,0,[None],0.9297520661157025,1.5887272974760374,1,1
27,1,[None],0.9380165289256199,0.0001,1,1
27,2,[None],0.8770661157024794,0.65088571674082,1,0
81,0,[None],0.9256198347107437,2.0585473711308153,1,0
81,1,[None],0.868801652892562,0.5770362380004885,1,0
81,2,[None],0.9380165289256198,0.9158451891078953,1,1
243,0,[None],0.9152892561983471,0.0001,1,1
243,1,[None],0.9256198347107438,0.6192534515169428,1,0
243,2,[None],0.8997933884297521,2.0585473711308153,1,0
729,0,[None],0.9648760330578512,37.45407443072437,1,1
729,1,[None],0.8760330578512396,37.45407443072437,1,0
729,2,[None],0.8729338842975206,7.376780148056661,1,0
2187,0,[None],0.9070247933884298,15.601948442379607,1,0
2187,1,[None],0.9142561983471076,3.4389486726697283,1,0
2187,2,[None],0.8966942148760331,4.6451366269585,1,0
6561,0,[None],0.9266528925619835,37.45407443072437,1,1
6561,1,[None],0.8770661157024793,37.45407443072437,1,0
6561,2,[None],0.9090909090909091,5.8084554084587285,1,0
19683,0,[None],0.9917355371900827,37.45407443072437,1,0
19683,1,[None],0.8811983471074379,0.010289400255762377,1,0
19683,2,[None],0.8522727272727272,0.0001,1,0
59049,0,[None],0.9307851239669422,0.28479983363839656,1,0
59049,1,[None],0.9173553719008264,0.8004201406875149,1,1
59049,2,[None],0.8698347107438017,37.45407443072437,1,0
