random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__vr__count,P__vr__count
3,0,[None],0.8367768595041323,6,86,0.06598654139229423,1,1
3,1,[None],0.884297520661157,7,11,0.9699399423098324,1,1
3,2,[None],0.8915289256198348,1,114,0.42768068083763006,1,1
9,0,[None],0.915289256198347,4,475,0.7322619478695936,1,1
9,1,[None],0.8605371900826446,1,16,0.6367740008525166,1,0
9,2,[None],0.8502066115702478,1,114,0.3447814755391883,1,1
27,0,[None],0.8977272727272727,3,19,0.609954769645917,1,1
27,1,[None],0.8770661157024793,1,16,0.6367740008525166,1,1
27,2,[None],0.8130165289256197,1,15,1.0,1,1
81,0,[None],0.9297520661157025,1,109,0.6444408479113888,1,1
81,1,[None],0.765495867768595,5,214,0.026393707617351093,1,1
81,2,[None],0.9204545454545455,5,11,1.0,1,1
243,0,[None],0.8739669421487604,1,16,0.6367740008525166,1,1
243,1,[None],0.8946280991735538,1,16,0.6367740008525166,1,1
243,2,[None],0.8997933884297521,5,392,0.2004741083762014,1,1
729,0,[None],0.9421487603305785,5,26,0.27936781777237485,1,1
729,1,[None],0.8450413223140496,9,428,0.001,1,1
729,2,[None],0.8419421487603306,1,14,1.0,1,1
2187,0,[None],0.8636363636363636,8,430,0.007945178400659513,1,0
2187,1,[None],0.9400826446280992,7,11,1.0,1,1
2187,2,[None],0.8822314049586777,1,117,0.5120042658413476,1,1
6561,0,[None],0.9070247933884299,2,16,0.3976858556725793,1,1
6561,1,[None],0.840909090909091,1,16,0.49134049268358754,1,0
6561,2,[None],0.8491735537190083,7,385,0.07497060708235627,1,1
19683,0,[None],0.9855371900826447,1,454,0.20268827041943258,1,1
19683,1,[None],0.7985537190082643,1,16,0.6893461816560678,1,1
19683,2,[None],0.831611570247934,1,16,0.6367740008525166,1,1
59049,0,[None],0.9111570247933884,8,430,0.007945178400659513,1,1
59049,1,[None],0.9008264462809918,1,454,0.2595212016184169,1,1
59049,2,[None],0.8233471074380165,1,9,1.0,1,1
