random_seed,fold,threshold,roc_auc,C,gamma,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std
3,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,15.601948442379607,1559.9452877625745,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
