random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std
3,0,[None],,1,16,0.9166231245353376,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,5,93,0.969615043136794,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,2,23,0.3260050004325011,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,3,23,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,3,254,0.9076589074521669,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,6,24,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,2,446,0.5398028996737351,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,1,16,0.639200059948424,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,1,116,0.4739589770276959,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,8,5,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,2,169,0.9429667942086066,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,1,114,0.42768068083763006,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,6,166,0.06449479193573761,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,3,198,0.8605392575475337,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,2,464,0.8083122591848525,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,3,254,0.9076589074521669,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,2,152,0.5252316752006057,1,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,9,429,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,9,482,0.8085889507683447,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,3,259,0.7033159399362827,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,1,454,0.942667412934529,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,7,11,0.9699399423098324,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,2,169,0.9429667942086066,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,1,409,0.85309746476824,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,1,16,0.6367740008525166,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,3,19,0.6415683369888462,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,1,16,0.6367740008525166,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,7,469,0.8949325230772212,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,3,39,0.29046170146085426,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,1,433,0.6015138967314656,1,1,1,1,1,1,1,1,1,1,1,1,1
