random_seed,fold,threshold,roc_auc,n_neighbors,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std
3,0,[None],0.8636363636363636,28,1,1,1,1,1,1,1,1,1,1,0,0,1
3,1,[None],0.7169421487603306,14,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.768595041322314,25,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],0.7758264462809917,14,1,1,1,1,0,1,1,0,1,0,1,1,1
9,1,[None],0.875,28,1,1,1,1,0,1,1,1,1,1,1,1,1
9,2,[None],0.7510330578512396,25,1,1,1,0,1,1,0,1,0,1,0,1,0
27,0,[None],0.7933884297520661,27,1,1,1,1,1,0,1,1,1,1,0,1,0
27,1,[None],0.8398760330578512,20,1,0,1,1,1,1,0,1,0,1,1,0,1
27,2,[None],0.7944214876033058,29,1,1,1,0,1,1,0,1,1,1,1,1,1
81,0,[None],0.8491735537190083,27,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.7830578512396694,35,1,1,1,1,1,1,1,1,0,1,1,1,1
81,2,[None],0.7603305785123968,29,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.7644628099173554,15,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.8078512396694214,33,1,1,1,1,1,1,1,1,1,0,1,1,1
243,2,[None],0.7975206611570247,33,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.8832644628099173,26,1,1,1,1,1,1,1,1,1,1,0,1,1
729,1,[None],0.7820247933884297,35,1,1,0,1,1,0,1,1,1,1,1,1,1
729,2,[None],0.6590909090909092,35,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.7768595041322314,27,1,1,1,1,1,1,1,1,1,1,0,1,1
2187,1,[None],0.790289256198347,11,1,0,1,1,0,1,1,1,0,0,1,1,1
2187,2,[None],0.7902892561983471,21,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.737603305785124,29,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],0.7758264462809917,27,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.8543388429752067,26,1,1,1,1,1,1,0,1,1,1,0,1,1
19683,0,[None],0.8192148760330579,28,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.6993801652892562,27,1,1,1,1,0,1,1,1,1,1,0,1,1
19683,2,[None],0.7851239669421487,29,1,1,1,1,1,1,0,1,1,1,1,1,1
59049,0,[None],0.7923553719008264,24,1,1,1,1,1,1,1,1,1,1,1,1,0
59049,1,[None],0.8264462809917354,29,1,0,1,0,1,1,0,1,1,1,0,1,1
59049,2,[None],0.7086776859504132,26,1,1,1,1,1,1,0,1,0,0,0,1,1
