random_seed,fold,threshold,roc_auc,C,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std
3,0,[None],0.8099173553719008,0.0001,1,1,1,1,1,1,0,0,1,0,0,1,0
3,1,[None],0.7396694214876033,0.0001,1,0,0,1,0,1,0,0,1,0,0,0,0
3,2,[None],0.7355371900826446,0.0001,1,0,1,1,0,1,0,1,1,1,1,0,0
9,0,[None],0.7520661157024793,0.0001,1,1,1,1,1,1,0,0,1,0,0,0,0
9,1,[None],0.8119834710743801,0.0001,1,1,1,1,0,1,1,1,1,0,0,1,1
9,2,[None],0.7231404958677686,12.203911280654397,1,0,1,0,1,0,0,1,0,1,1,0,0
27,0,[None],0.7644628099173555,0.0001,1,1,1,1,1,0,0,0,0,1,0,0,0
27,1,[None],0.7995867768595042,0.0001,1,1,1,1,0,1,1,1,1,1,1,1,1
27,2,[None],0.7128099173553719,0.0001,0,1,1,1,0,1,0,0,1,1,0,0,1
81,0,[None],0.8243801652892563,0.0001,1,0,0,1,0,1,0,1,1,1,0,0,1
81,1,[None],0.7851239669421488,0.5593610833643474,1,0,1,0,0,0,0,0,0,1,0,0,0
81,2,[None],0.731404958677686,0.0001,1,1,1,1,1,1,1,0,1,1,1,1,0
243,0,[None],0.7128099173553718,0.0001,1,1,1,1,1,1,1,1,0,1,1,1,0
243,1,[None],0.7975206611570248,0.0001,1,1,0,1,0,1,0,0,1,1,0,1,1
243,2,[None],0.7603305785123967,0.0001,0,1,1,1,0,0,0,1,1,1,0,0,0
729,0,[None],0.8698347107438017,0.0001,1,1,0,1,1,1,0,1,1,0,1,0,1
729,1,[None],0.7541322314049588,0.0001,0,0,0,1,1,1,0,1,1,1,1,0,0
729,2,[None],0.6921487603305785,0.0001,0,0,0,1,0,0,0,0,0,1,0,0,0
2187,0,[None],0.7603305785123966,0.0001,1,0,0,1,0,0,1,0,0,1,0,0,0
2187,1,[None],0.7758264462809918,27.171038760637646,1,0,1,0,0,0,1,0,0,1,1,0,1
2187,2,[None],0.8347107438016529,0.0001,0,0,0,1,0,1,0,1,1,1,0,0,0
6561,0,[None],0.743801652892562,0.0001,1,0,0,0,0,1,0,0,0,1,0,0,0
6561,1,[None],0.7727272727272727,0.0001,0,1,0,1,0,1,0,0,1,1,1,0,0
6561,2,[None],0.7913223140495868,0.0001,1,0,1,0,0,1,0,1,0,1,0,1,1
19683,0,[None],0.7830578512396694,0.0001,1,1,1,1,1,1,1,1,1,1,1,0,0
19683,1,[None],0.7169421487603306,0.0001,1,0,1,0,0,0,0,1,1,1,0,0,0
19683,2,[None],0.7995867768595041,0.0001,1,0,0,1,0,0,0,0,0,1,0,0,1
59049,0,[None],0.7933884297520661,0.0001,1,1,1,1,0,1,0,0,1,1,0,0,1
59049,1,[None],0.7871900826446281,0.0001,1,0,0,1,0,1,1,1,1,1,1,1,0
59049,2,[None],0.6921487603305786,0.0001,1,1,1,1,0,0,0,0,1,0,0,0,0
