random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std
3,0,[None],0.9132231404958677,1,16,0.9166231245353376,0,1,0,0,1,0,1,1,0,1,0,0,0
3,1,[None],0.8243801652892563,5,93,0.969615043136794,1,1,1,0,1,1,1,1,1,0,0,1,0
3,2,[None],0.6632231404958678,2,23,0.3260050004325011,1,1,1,1,1,1,1,1,1,0,1,1,1
9,0,[None],0.8171487603305785,3,23,0.001,1,1,0,1,1,1,0,1,0,1,1,0,1
9,1,[None],0.8429752066115702,3,254,0.9076589074521669,1,0,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.7778925619834711,6,24,0.001,1,0,1,1,0,1,1,1,1,1,1,1,0
27,0,[None],0.6167355371900827,2,446,0.5398028996737351,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.7975206611570249,1,16,0.639200059948424,0,1,1,1,1,1,0,1,1,1,1,1,1
27,2,[None],0.8760330578512396,1,116,0.4739589770276959,0,1,1,0,1,1,0,1,0,1,0,0,0
81,0,[None],0.7706611570247934,8,5,0.001,0,1,0,0,1,1,1,0,1,1,0,1,1
81,1,[None],0.8367768595041323,2,169,0.9429667942086066,1,1,0,0,0,0,1,1,0,1,0,0,0
81,2,[None],0.8739669421487603,1,114,0.42768068083763006,0,0,1,1,0,1,0,1,0,0,0,1,0
243,0,[None],0.7396694214876033,6,166,0.06449479193573761,1,1,1,0,1,1,1,1,0,1,1,1,1
243,1,[None],0.7024793388429752,3,198,0.8605392575475337,1,0,1,1,1,1,1,1,1,1,1,1,0
243,2,[None],0.7541322314049587,2,464,0.8083122591848525,0,0,0,1,0,0,0,1,1,0,0,1,1
729,0,[None],0.8161157024793388,3,254,0.9076589074521669,0,0,0,0,1,1,1,1,1,0,1,0,1
729,1,[None],0.8223140495867768,2,152,0.5252316752006057,0,0,0,0,0,1,1,1,1,1,0,0,0
729,2,[None],0.6859504132231405,9,429,0.001,0,1,1,1,0,1,1,1,0,1,0,0,1
2187,0,[None],0.7004132231404958,9,482,0.8085889507683447,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],0.8274793388429752,3,259,0.7033159399362827,0,0,0,0,0,1,1,1,0,0,1,0,0
2187,2,[None],0.8347107438016529,1,454,0.942667412934529,1,0,1,1,1,1,1,1,1,1,0,0,0
6561,0,[None],0.7355371900826446,7,11,0.9699399423098324,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],0.7830578512396694,2,169,0.9429667942086066,0,1,1,0,1,1,1,1,0,1,1,0,1
6561,2,[None],0.859504132231405,1,409,0.85309746476824,0,0,0,0,1,0,0,1,1,1,0,1,1
19683,0,[None],0.7851239669421488,1,16,0.6367740008525166,1,1,1,1,1,0,1,1,1,1,0,1,1
19683,1,[None],0.6652892561983471,3,19,0.6415683369888462,0,1,1,1,1,0,0,1,1,1,1,1,1
19683,2,[None],0.768595041322314,1,16,0.6367740008525166,1,0,0,1,1,1,1,1,1,0,0,0,0
59049,0,[None],0.7871900826446281,7,469,0.8949325230772212,0,0,1,1,0,1,0,1,1,0,0,1,0
59049,1,[None],0.8429752066115702,3,39,0.29046170146085426,0,1,0,0,1,0,0,1,1,0,0,1,0
59049,2,[None],0.8295454545454546,1,433,0.6015138967314656,0,0,0,0,1,0,0,1,1,0,0,1,0
