random_seed,fold,threshold,roc_auc,C,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std
3,0,[None],0.6652892561983471,2.625877493776657,0,0,0,0,0,0,0,0,0,0,1,0,1
3,1,[None],0.6632231404958677,0.0001,0,0,1,0,0,0,0,1,1,1,1,1,1
3,2,[None],0.7107438016528926,14.337698339830586,0,0,0,1,1,1,0,0,0,0,0,0,1
9,0,[None],0.6322314049586777,13.949472115818118,0,0,1,0,0,0,1,0,0,0,0,0,1
9,1,[None],0.7107438016528925,0.0001,1,0,0,0,0,1,0,0,1,0,1,1,1
9,2,[None],0.7252066115702479,0.7737949788367129,0,1,1,0,1,1,0,1,0,1,0,0,0
27,0,[None],0.6942148760330579,21.233989833916546,0,1,1,0,0,1,1,1,0,0,0,0,1
27,1,[None],0.7066115702479341,0.0001,0,0,0,0,0,0,0,0,0,0,0,1,1
27,2,[None],0.8119834710743801,15.601948442379607,0,0,0,0,1,1,0,0,0,0,1,0,1
81,0,[None],0.6673553719008265,0.0001,0,1,1,0,0,1,0,1,0,1,0,1,1
81,1,[None],0.6756198347107438,6.505252793368653,0,0,0,1,0,1,0,1,0,0,0,1,1
81,2,[None],0.7148760330578513,95.07143556956098,0,1,0,0,1,0,0,0,0,0,0,1,0
243,0,[None],0.71900826446281,0.23218196376096906,0,1,1,0,1,0,0,0,0,0,0,0,1
243,1,[None],0.6033057851239669,0.5883472233771013,0,0,0,0,0,0,0,1,0,0,0,0,1
243,2,[None],0.7603305785123967,4.6451366269585,0,0,1,0,0,1,1,0,0,0,0,0,1
729,0,[None],0.7438016528925621,52.475690687580624,0,1,0,1,1,1,0,1,0,0,0,1,1
729,1,[None],0.6074380165289257,0.0001,0,1,0,0,0,1,0,0,0,1,1,1,1
729,2,[None],0.6756198347107438,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,1
2187,0,[None],0.7768595041322315,37.45407443072437,0,0,0,1,1,1,0,0,0,0,0,0,1
2187,1,[None],0.5971074380165289,0.3469510070418489,0,1,1,1,0,1,0,0,0,0,0,0,0
2187,2,[None],0.5289256198347108,0.0001,0,1,0,0,0,0,1,1,0,1,0,1,1
6561,0,[None],0.5929752066115703,27.23417571129606,0,0,0,1,1,1,0,1,1,1,0,0,1
6561,1,[None],0.6900826446280992,3.728638452802606,0,1,1,1,0,1,0,0,0,0,0,0,0
6561,2,[None],0.6818181818181819,0.10741399064342648,1,1,1,0,1,1,0,0,0,0,0,0,1
19683,0,[None],0.634297520661157,0.0001,0,0,0,0,0,0,0,0,0,0,0,1,1
19683,1,[None],0.6177685950413223,17.052495316316783,1,0,1,1,0,1,0,0,1,0,1,1,0
19683,2,[None],0.6095041322314049,52.475690687580624,1,0,0,1,1,1,1,1,0,0,0,1,1
59049,0,[None],0.7231404958677686,0.023163358765915503,0,0,0,0,0,0,0,1,0,0,0,0,1
59049,1,[None],0.5681818181818182,0.0001,1,1,0,0,1,1,1,1,0,0,0,1,1
59049,2,[None],0.7169421487603305,0.0001,0,0,1,1,0,1,0,0,0,0,0,0,1
