random_seed,fold,threshold,roc_auc,C,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,39.05019580089326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,1.525166669093778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,73.19942098174633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,2.6710571375611267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,98.94479653173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,86.61762795987894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,41.40262127127972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,3.316081484339751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,96.99098822521421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,96.99098822521421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,2.5852497554152127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,6.505252793368653,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,32.50993480623158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
