random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],,1,152,0.49522340895496314,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,4,136,0.8289087716427774,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,3,249,0.3015774315069529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,7,11,0.9699399423098324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,1,16,0.6891042361189329,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,8,86,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,2,206,0.8482706936669591,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,6,435,0.8038684048222153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,2,152,0.5252316752006057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,1,433,0.6015138967314656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,2,356,0.7610242635682806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,1,328,0.9028091403563189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,6,86,0.06598654139229423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,5,93,0.969615043136794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,1,16,0.6446632510897944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,4,136,0.8289087716427774,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,4,410,0.6949969117197965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,1,433,0.836294402462279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,3,163,0.729876572159726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,7,230,0.7169001217353971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,1,16,0.6367740008525166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,2,446,0.5398028996737351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,3,19,0.609954769645917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,7,469,0.8949325230772212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,2,464,0.8083122591848525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,6,435,0.8038684048222153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,4,410,0.6949969117197965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,1,114,0.42768068083763006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,2,466,0.5390176858119471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,1,454,0.17467652021868424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
