random_seed,fold,threshold,roc_auc,n_neighbors,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.8863636363636365,28,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.753099173553719,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.8078512396694215,7,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
9,0,[None],0.8419421487603306,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
9,1,[None],0.8068181818181818,28,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.7747933884297522,7,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
27,0,[None],0.8202479338842975,26,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1
27,1,[None],0.8357438016528924,28,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.7851239669421488,30,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
81,0,[None],0.8543388429752067,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.8140495867768596,34,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
81,2,[None],0.8233471074380165,34,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
243,0,[None],0.7634297520661156,38,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
243,1,[None],0.8512396694214875,28,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],0.8305785123966942,29,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
729,0,[None],0.8915289256198348,20,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
729,1,[None],0.7933884297520661,34,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
729,2,[None],0.6497933884297521,32,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.7582644628099173,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2187,1,[None],0.7262396694214875,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.8295454545454546,27,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.8088842975206612,34,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],0.731404958677686,29,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.7417355371900827,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],0.8233471074380165,22,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1
19683,1,[None],0.7252066115702479,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.8254132231404959,31,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
59049,0,[None],0.8491735537190083,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
59049,1,[None],0.8471074380165289,21,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
59049,2,[None],0.6580578512396694,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
