random_seed,fold,threshold,roc_auc,C,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.865702479338843,0.0001,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1
3,1,[None],0.7623966942148761,39.05019580089326,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
3,2,[None],0.762396694214876,0.0001,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
9,0,[None],0.8388429752066116,0.0001,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
9,1,[None],0.8388429752066116,1.525166669093778,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0
9,2,[None],0.7644628099173554,73.19942098174633,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
27,0,[None],0.7541322314049588,0.0001,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0
27,1,[None],0.8326446280991735,0.0001,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
27,2,[None],0.7355371900826446,0.0001,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0
81,0,[None],0.8946280991735537,0.0001,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0
81,1,[None],0.7603305785123967,0.0001,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1
81,2,[None],0.890495867768595,2.6710571375611267,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0
243,0,[None],0.7376033057851239,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
243,1,[None],0.8636363636363636,0.0001,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0
243,2,[None],0.7376033057851239,0.0001,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0
729,0,[None],0.8853305785123967,98.94479653173,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0
729,1,[None],0.853305785123967,86.61762795987894,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0
729,2,[None],0.7830578512396694,41.40262127127972,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1
2187,0,[None],0.8285123966942148,3.316081484339751,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
2187,1,[None],0.8533057851239669,96.99098822521421,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
2187,2,[None],0.8822314049586777,0.0001,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0
6561,0,[None],0.8512396694214875,96.99098822521421,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0
6561,1,[None],0.8037190082644627,2.5852497554152127,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1
6561,2,[None],0.7851239669421488,0.0001,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1
19683,0,[None],0.7892561983471074,0.0001,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
19683,1,[None],0.8409090909090909,6.505252793368653,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0
19683,2,[None],0.7995867768595042,0.0001,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
59049,0,[None],0.8181818181818182,0.0001,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
59049,1,[None],0.8574380165289256,0.0001,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0
59049,2,[None],0.8574380165289256,32.50993480623158,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1
