random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.7727272727272727,6,435,0.8038684048222153,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0
3,1,[None],0.7809917355371901,2,60,0.001,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
3,2,[None],0.6219008264462811,2,23,0.29625815422294577,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
9,0,[None],0.6280991735537191,4,58,0.8632403224497179,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
9,1,[None],0.8130165289256199,1,451,0.39136135252811205,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0
9,2,[None],0.643595041322314,4,146,0.612241041827657,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0
27,0,[None],0.6322314049586776,1,407,0.7071504865037695,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
27,1,[None],0.8873966942148761,1,114,0.42768068083763006,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
27,2,[None],0.7024793388429752,4,18,0.6808784194123804,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
81,0,[None],0.7582644628099173,3,249,0.3015774315069529,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
81,1,[None],0.5351239669421487,4,58,0.8632403224497179,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
81,2,[None],0.8419421487603306,1,114,0.3984464250984294,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0
243,0,[None],0.7024793388429753,1,432,0.5659139927906647,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1
243,1,[None],0.7975206611570248,1,455,0.37194605475152115,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
243,2,[None],0.6115702479338843,3,249,0.2954473428963829,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
729,0,[None],0.8533057851239669,1,115,0.6108300353899918,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
729,1,[None],0.6776859504132232,2,464,0.8083122591848525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
729,2,[None],0.7685950413223142,3,49,0.6845487934856448,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
2187,0,[None],0.7045454545454545,1,407,0.7071504865037695,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
2187,1,[None],0.6022727272727273,1,221,0.6609026887336779,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0
2187,2,[None],0.659090909090909,4,25,0.29492710818809137,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
6561,0,[None],0.6725206611570248,9,482,0.8085889507683447,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
6561,1,[None],0.7448347107438017,3,485,1.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0
6561,2,[None],0.7107438016528925,7,469,0.8949325230772212,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
19683,0,[None],0.743801652892562,1,407,0.7071504865037695,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1
19683,1,[None],0.8378099173553719,1,407,0.7071504865037695,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1
19683,2,[None],0.5268595041322314,4,485,0.9443705203236792,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],0.8471074380165289,1,433,0.6015138967314656,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
59049,1,[None],0.8760330578512397,1,114,0.42768068083763006,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1
59049,2,[None],0.7892561983471074,2,23,0.33186714742318607,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1
