random_seed,fold,threshold,roc_auc,n_neighbors,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__vr__count,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.8688016528925621,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,1,[None],0.7789256198347106,31,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.8646694214876033,9,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1
9,0,[None],0.8181818181818182,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.8646694214876034,28,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
9,2,[None],0.6993801652892561,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.7840909090909092,26,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1
27,1,[None],0.8564049586776861,29,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.7944214876033058,26,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.8822314049586777,28,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.7913223140495869,34,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.8047520661157026,35,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
243,0,[None],0.7623966942148761,28,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.8904958677685951,26,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
243,2,[None],0.7892561983471074,33,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
729,0,[None],0.9008264462809918,28,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
729,1,[None],0.8047520661157025,34,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
729,2,[None],0.6942148760330579,34,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
2187,0,[None],0.8119834710743801,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
2187,1,[None],0.7324380165289257,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.8481404958677685,24,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
6561,0,[None],0.7995867768595041,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
6561,1,[None],0.8026859504132231,23,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
6561,2,[None],0.8202479338842975,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
19683,0,[None],0.8192148760330579,20,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1
19683,1,[None],0.7789256198347108,18,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.8491735537190083,30,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
59049,0,[None],0.8543388429752067,29,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
59049,1,[None],0.8863636363636362,21,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1
59049,2,[None],0.7138429752066116,24,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
