random_seed,fold,threshold,roc_auc,C,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__vr__count,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.8801652892561984,0.10183331623520886,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1
3,1,[None],0.7944214876033059,23.532931531478503,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1
3,2,[None],0.7871900826446281,0.0001,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0
9,0,[None],0.8677685950413223,0.0001,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0
9,1,[None],0.8491735537190082,0.0001,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0
9,2,[None],0.890495867768595,21.233989833916546,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1
27,0,[None],0.8987603305785125,37.45407443072437,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0
27,1,[None],0.8677685950413223,0.0001,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
27,2,[None],0.8760330578512396,4.6451366269585,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0
81,0,[None],0.8636363636363638,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
81,1,[None],0.8636363636363636,4.103869549597978,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1
81,2,[None],0.9214876033057852,18.182578538213342,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0
243,0,[None],0.762396694214876,0.0001,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
243,1,[None],0.8822314049586777,0.0001,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0
243,2,[None],0.8409090909090909,95.07143556956098,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0
729,0,[None],0.8987603305785125,0.0001,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
729,1,[None],0.9545454545454545,30.424293871729475,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0
729,2,[None],0.8533057851239669,30.424293871729475,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1
2187,0,[None],0.7706611570247934,0.0001,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0
2187,1,[None],0.9049586776859504,77.02112004603762,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0
2187,2,[None],0.8987603305785123,0.0001,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
6561,0,[None],0.78099173553719,0.0001,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0
6561,1,[None],0.8347107438016529,3.351414141609551,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1
6561,2,[None],0.8243801652892561,0.0001,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1
19683,0,[None],0.8863636363636364,5.8084554084587285,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1
19683,1,[None],0.8491735537190083,83.2442808357781,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0
19683,2,[None],0.8326446280991735,0.0001,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
59049,0,[None],0.828512396694215,0.0001,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
59049,1,[None],0.8863636363636364,0.0001,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0
59049,2,[None],0.9607438016528925,31.171176437833484,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0
