random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__vr__count
3,0,[None],0.8347107438016529,1,16,0.37168150531762517,1,1,1,1,1,0,1,1,1,1,1,1,0,1
3,1,[None],0.768595041322314,3,254,0.9076589074521669,1,1,1,0,1,0,1,1,0,1,0,1,1,1
3,2,[None],0.6921487603305786,6,105,0.001,1,0,1,1,1,1,0,1,0,1,1,0,1,1
9,0,[None],0.9297520661157025,6,86,0.06598654139229423,1,1,0,0,1,1,1,0,0,1,0,0,0,1
9,1,[None],0.8946280991735537,1,16,0.6767387414446276,0,0,1,1,1,0,1,0,0,0,1,1,1,1
9,2,[None],0.7975206611570248,5,26,0.27936781777237485,0,1,1,1,1,1,1,1,0,1,1,1,1,1
27,0,[None],0.740702479338843,2,169,0.9429667942086066,1,1,1,0,0,0,1,0,0,0,0,0,0,1
27,1,[None],0.8553719008264462,1,16,0.6367740008525166,0,0,0,1,0,0,0,1,1,1,0,1,0,1
27,2,[None],0.859504132231405,3,19,0.609954769645917,0,1,1,0,1,0,0,1,0,1,0,0,1,1
81,0,[None],0.9462809917355371,7,11,0.9465518032925503,1,0,1,1,0,1,1,1,1,1,0,1,1,1
81,1,[None],0.7210743801652892,4,136,0.8289087716427774,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.7871900826446281,6,385,0.4943018007680264,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.8078512396694214,2,401,0.07547609303609105,1,1,0,0,1,0,0,1,0,1,1,0,1,1
243,1,[None],0.8202479338842975,6,435,0.8038684048222153,1,0,1,1,1,1,1,1,1,1,0,1,1,1
243,2,[None],0.746900826446281,2,169,0.9429667942086066,0,0,0,1,0,0,1,1,1,0,0,1,1,0
729,0,[None],0.8367768595041322,4,485,0.9624848476471691,0,0,0,0,0,1,1,1,1,0,0,1,1,1
729,1,[None],0.8326446280991735,3,21,0.4991552292655393,0,0,0,0,1,1,1,1,1,1,0,0,0,0
729,2,[None],0.6683884297520661,4,485,0.9624848476471691,1,1,1,1,1,1,1,0,1,1,1,0,1,1
2187,0,[None],0.7913223140495868,2,464,0.7814964460116819,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2187,1,[None],0.7169421487603307,3,198,0.8605392575475337,1,1,1,1,1,0,0,1,1,1,1,1,0,1
2187,2,[None],0.8553719008264463,1,16,0.6367740008525166,1,0,1,1,0,0,0,1,0,1,0,0,1,1
6561,0,[None],0.8243801652892563,2,356,0.7610242635682806,1,0,0,0,1,1,1,1,1,1,1,1,0,1
6561,1,[None],0.8429752066115702,7,11,0.928685825473028,1,1,0,0,0,1,1,1,0,1,0,0,1,1
6561,2,[None],0.8822314049586777,2,169,0.9429667942086066,0,0,1,0,0,0,1,1,0,1,0,0,0,1
19683,0,[None],0.8099173553719008,1,16,0.7954416668016937,0,1,1,0,1,0,1,1,1,1,0,1,1,1
19683,1,[None],0.7541322314049587,6,443,0.4727427102367873,1,0,1,1,1,0,0,1,0,1,1,1,0,1
19683,2,[None],0.6942148760330579,1,16,0.6367740008525166,1,0,0,1,1,1,1,1,1,1,0,1,1,1
59049,0,[None],0.8150826446280992,5,93,0.969615043136794,0,1,1,0,0,1,1,1,1,1,0,1,1,1
59049,1,[None],0.8429752066115702,2,401,0.27515095043315313,0,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],0.7469008264462811,2,401,0.07547609303609105,0,0,1,0,0,1,1,1,1,0,0,0,1,1
