random_seed,fold,threshold,roc_auc,C,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],,7.842070759545718,1,1,1,1,1,1,1
3,1,[None],,0.9207452534040936,1,1,1,1,1,1,1
3,2,[None],,99.45548746757989,1,1,1,1,1,1,1
9,0,[None],,2.0585473711308153,1,1,1,1,1,1,1
9,1,[None],,59.86588855385524,1,1,1,1,1,1,1
9,2,[None],,18.182578538213342,1,1,1,1,1,1,1
27,0,[None],,59.24149764474736,1,1,1,1,1,1,1
27,1,[None],,2.6286060636650377,1,1,1,1,1,1,1
27,2,[None],,96.99098822521421,1,1,1,1,1,1,1
81,0,[None],,73.19942098174633,1,1,1,1,1,1,1
81,1,[None],,7.488748353597222,1,1,1,1,1,1,1
81,2,[None],,73.19942098174633,1,1,1,1,1,1,1
243,0,[None],,4.6451366269585,1,1,1,1,1,1,1
243,1,[None],,14.822067856513078,1,1,1,1,1,1,1
243,2,[None],,18.340532644892395,1,1,1,1,1,1,1
729,0,[None],,21.233989833916546,1,1,1,1,1,1,1
729,1,[None],,29.12298489689017,1,1,1,1,1,1,1
729,2,[None],,27.182814310907492,1,1,1,1,1,1,1
2187,0,[None],,56.58347943874881,1,1,1,1,1,1,1
2187,1,[None],,36.63624769318484,1,1,1,1,1,1,1
2187,2,[None],,19.967458248457756,1,1,1,1,1,1,1
6561,0,[None],,11.302172180476058,1,1,1,1,1,1,1
6561,1,[None],,11.058561098841,1,1,1,1,1,1,1
6561,2,[None],,37.45407443072437,1,1,1,1,1,1,1
19683,0,[None],,73.19942098174633,1,1,1,1,1,1,1
19683,1,[None],,95.07143556956098,1,1,1,1,1,1,1
19683,2,[None],,21.233989833916546,1,1,1,1,1,1,1
59049,0,[None],,31.171176437833484,1,1,1,1,1,1,1
59049,1,[None],,18.182578538213342,1,1,1,1,1,1,1
59049,2,[None],,15.601948442379607,1,1,1,1,1,1,1
