random_seed,fold,threshold,roc_auc,C,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.8347107438016529,7.842070759545718,1,1,1,1,1,1,1
3,1,[None],0.7045454545454546,0.9207452534040936,1,1,1,0,1,1,1
3,2,[None],0.6983471074380165,99.45548746757989,0,1,1,1,1,0,0
9,0,[None],0.8491735537190083,2.0585473711308153,1,0,1,1,1,1,0
9,1,[None],0.7128099173553719,59.86588855385524,0,1,1,1,1,0,0
9,2,[None],0.7004132231404958,18.182578538213342,0,1,1,1,1,1,1
27,0,[None],0.8367768595041323,59.24149764474736,0,1,1,1,1,0,1
27,1,[None],0.768595041322314,2.6286060636650377,1,0,1,1,1,1,1
27,2,[None],0.768595041322314,96.99098822521421,1,0,0,0,1,0,0
81,0,[None],0.7809917355371903,73.19942098174633,0,1,1,1,0,0,1
81,1,[None],0.6611570247933884,7.488748353597222,1,1,1,1,1,1,1
81,2,[None],0.8388429752066116,73.19942098174633,0,1,1,1,1,1,0
243,0,[None],0.7458677685950413,4.6451366269585,0,1,1,1,1,0,0
243,1,[None],0.8450413223140496,14.822067856513078,1,1,1,1,1,1,0
243,2,[None],0.7045454545454545,18.340532644892395,1,0,1,0,1,0,0
729,0,[None],0.7644628099173554,21.233989833916546,0,1,1,1,1,1,0
729,1,[None],0.7851239669421488,29.12298489689017,1,1,1,1,1,0,0
729,2,[None],0.7293388429752067,27.182814310907492,0,1,1,1,1,0,0
2187,0,[None],0.7479338842975206,56.58347943874881,1,0,1,1,1,0,0
2187,1,[None],0.7644628099173554,36.63624769318484,0,1,1,1,1,1,1
2187,2,[None],0.7376033057851239,19.967458248457756,1,1,1,1,1,0,0
6561,0,[None],0.7913223140495868,11.302172180476058,0,1,1,1,1,1,0
6561,1,[None],0.7086776859504132,11.058561098841,1,0,1,1,1,0,0
6561,2,[None],0.7128099173553719,37.45407443072437,1,1,1,1,1,0,1
19683,0,[None],0.768595041322314,73.19942098174633,0,1,1,1,1,1,0
19683,1,[None],0.8409090909090908,95.07143556956098,0,1,1,1,1,0,0
19683,2,[None],0.7148760330578513,21.233989833916546,1,0,1,1,0,1,0
59049,0,[None],0.7272727272727273,31.171176437833484,0,1,1,0,1,0,0
59049,1,[None],0.7851239669421487,18.182578538213342,1,0,0,0,1,0,0
59049,2,[None],0.8202479338842975,15.601948442379607,1,1,1,1,1,0,0
