random_seed,fold,threshold,roc_auc,C,gamma,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.7458677685950413,67.76826719850646,0.36595178984271937,1,1,0,0,1,1,1
3,1,[None],0.746900826446281,11.926277545104128,36.27546984676725,1,0,0,0,0,1,1
3,2,[None],0.6497933884297521,51.88367502032674,116.68285730340736,0,0,1,0,0,1,1
9,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
9,1,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
9,2,[None],0.7210743801652892,53.262711178111616,120.05122090703166,0,1,0,0,0,1,1
27,0,[None],0.6683884297520661,7.787382663755601,37.53111276843314,1,0,1,0,1,1,1
27,1,[None],0.7799586776859505,75.60777511121634,0.01841625957462095,0,0,1,1,0,1,0
27,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
81,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
81,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
81,2,[None],0.5444214876033058,33.089869395462436,635.5835965044014,1,0,1,1,1,1,1
243,0,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
243,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
243,2,[None],0.8471074380165289,27.079858554277294,4.577913936054102,1,0,1,0,0,1,1
729,0,[None],0.5444214876033058,33.089869395462436,635.5835965044014,1,0,1,1,1,1,1
729,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
729,2,[None],0.5444214876033058,53.262711178111616,120.05122090703166,1,1,1,0,1,1,1
2187,0,[None],0.8078512396694214,8.229158278011823,37.20060140482564,1,0,0,0,0,1,1
2187,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
2187,2,[None],0.7386363636363636,8.229158278011823,37.20060140482564,0,0,1,0,1,1,1
6561,0,[None],0.6993801652892562,53.38879074702072,120.18387202955716,0,0,0,0,1,1,1
6561,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
6561,2,[None],0.7055785123966942,17.114540298017694,22.5760686032854,1,1,0,0,1,1,1
19683,0,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
19683,1,[None],0.5227272727272727,8.229158278011823,37.20060140482564,1,1,1,1,1,1,0
19683,2,[None],0.6849173553719009,57.74457967117431,463.3363003078375,0,0,1,0,0,1,0
59049,0,[None],0.5909090909090909,52.41229832291383,118.71776627146374,0,0,1,0,1,1,1
59049,1,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
59049,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
