random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.8336776859504132,1,114,0.8851704347905643,1,1,0,0,0,0,0
3,1,[None],0.6911157024793388,1,433,0.598285840350938,0,0,0,0,1,1,0
3,2,[None],0.7551652892561984,1,16,0.6443439547367381,0,1,1,0,1,0,1
9,0,[None],0.7520661157024793,1,16,0.5697207061263747,0,1,1,1,1,1,0
9,1,[None],0.7603305785123966,2,464,0.8094386157881666,1,0,1,0,1,0,0
9,2,[None],0.6528925619834712,1,454,0.2595212016184169,0,1,1,0,0,0,1
27,0,[None],0.8192148760330579,1,114,0.39619537152068995,0,1,0,1,0,0,0
27,1,[None],0.7097107438016529,1,454,0.2595212016184169,0,1,1,1,1,1,1
27,2,[None],0.5764462809917356,1,112,0.001,1,1,1,1,1,1,1
81,0,[None],0.7272727272727272,4,58,0.8632403224497179,0,1,1,1,1,0,1
81,1,[None],0.5650826446280992,2,401,0.07547609303609105,0,1,1,1,0,1,1
81,2,[None],0.7190082644628099,1,345,0.4150513484610965,0,1,0,1,1,1,0
243,0,[None],0.5702479338842975,7,469,0.8949325230772212,1,1,1,1,1,1,1
243,1,[None],0.6993801652892562,6,435,0.8038684048222153,1,1,1,1,1,1,1
243,2,[None],0.6807851239669421,3,206,0.42118002638882335,0,1,0,1,1,0,0
729,0,[None],0.734504132231405,1,15,0.6586400167158294,0,1,1,1,1,1,1
729,1,[None],0.5557851239669421,4,146,0.612241041827657,1,0,1,1,1,0,0
729,2,[None],0.7004132231404958,3,49,0.6845487934856448,0,1,1,1,1,1,1
2187,0,[None],0.7417355371900826,4,485,0.9624848476471691,1,0,1,1,1,0,1
2187,1,[None],0.7252066115702479,5,26,0.07565012381639843,0,1,1,1,1,0,1
2187,2,[None],0.7603305785123967,1,15,0.8808170702055589,0,1,1,1,0,0,0
6561,0,[None],0.6931818181818181,2,16,0.3986281397009662,0,1,1,0,1,0,1
6561,1,[None],0.7479338842975207,1,114,0.42768068083763006,1,1,1,0,0,0,0
6561,2,[None],0.7117768595041323,1,328,0.9028091403563189,0,1,1,0,1,0,0
19683,0,[None],0.38636363636363635,5,10,0.9737386045033309,1,1,1,1,1,1,1
19683,1,[None],0.8977272727272728,5,92,0.9698458888934667,1,1,1,1,1,0,0
19683,2,[None],0.5392561983471075,4,485,0.9624848476471691,1,1,1,1,1,1,1
59049,0,[None],0.7128099173553719,1,16,0.6367740008525166,0,1,1,1,0,0,1
59049,1,[None],0.8233471074380165,1,433,0.43210384132185975,0,0,0,0,1,1,0
59049,2,[None],0.5289256198347108,1,17,0.001,1,1,0,1,1,0,1
