random_seed,fold,threshold,roc_auc,n_neighbors,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.6611570247933883,26,1,1,1,1,1,1,1
3,1,[None],0.6353305785123967,32,1,1,1,1,1,1,1
3,2,[None],0.631198347107438,35,0,1,1,1,1,1,0
9,0,[None],0.6363636363636362,33,1,1,1,1,1,1,1
9,1,[None],0.6466942148760331,19,1,1,1,1,1,1,1
9,2,[None],0.6053719008264463,5,1,0,0,0,0,1,1
27,0,[None],0.6239669421487604,28,1,1,1,1,1,0,1
27,1,[None],0.6260330578512397,31,1,1,0,1,0,1,1
27,2,[None],0.606404958677686,7,1,1,1,1,1,1,1
81,0,[None],0.6807851239669422,3,1,1,1,1,0,1,1
81,1,[None],0.5650826446280991,14,1,1,1,0,1,1,1
81,2,[None],0.6177685950413223,36,0,1,0,1,1,1,1
243,0,[None],0.5991735537190082,26,1,1,1,1,1,1,1
243,1,[None],0.5485537190082644,37,1,1,1,1,1,1,1
243,2,[None],0.6590909090909092,1,1,0,0,1,1,1,1
729,0,[None],0.5733471074380165,31,1,1,1,1,1,1,1
729,1,[None],0.6229338842975207,35,1,1,1,1,1,1,1
729,2,[None],0.6446280991735538,3,1,1,1,1,1,1,1
2187,0,[None],0.6590909090909091,28,1,1,0,0,1,1,1
2187,1,[None],0.5227272727272727,36,1,1,1,1,1,1,1
2187,2,[None],0.7541322314049587,3,1,0,1,0,1,1,1
6561,0,[None],0.6776859504132231,2,1,1,1,1,1,1,1
6561,1,[None],0.6394628099173554,31,1,0,0,1,1,1,1
6561,2,[None],0.5981404958677686,6,0,1,1,1,1,0,1
19683,0,[None],0.6735537190082644,3,1,1,1,0,1,1,1
19683,1,[None],0.5991735537190084,21,1,1,1,1,1,1,1
19683,2,[None],0.6818181818181818,1,1,1,0,1,1,1,1
59049,0,[None],0.6456611570247934,5,1,1,1,1,1,1,1
59049,1,[None],0.7231404958677685,3,1,0,0,0,1,0,1
59049,2,[None],0.5723140495867768,35,1,0,1,1,1,1,1
