random_seed,fold,threshold,roc_auc,C,gamma,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
3,1,[None],0.6353305785123966,7.585372140924625,39.13505455870023,1,0,0,1,1,1,0
3,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
9,0,[None],0.6270661157024794,11.312643852174572,38.172028188594396,1,1,1,0,1,1,0
9,1,[None],0.6084710743801652,53.262711178111616,120.05122090703166,1,0,1,1,1,0,1
9,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
27,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
27,1,[None],0.7407024793388429,8.229158278011823,37.20060140482564,1,0,1,1,1,1,0
27,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
81,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
81,1,[None],0.5,65.67564067184937,422.69003813244615,1,1,1,1,1,1,1
81,2,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
243,0,[None],0.5,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1
243,1,[None],0.5,15.601948442379607,1559.9452877625745,1,1,1,1,1,1,1
243,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
729,0,[None],0.5,60.11796480598739,119.30085865727226,1,1,1,1,1,1,1
729,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
729,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
2187,0,[None],0.7851239669421488,11.786404381182587,27.84685923887448,0,0,1,1,1,1,0
2187,1,[None],0.7045454545454546,9.197108191421133,23.1320935227589,0,1,1,0,1,0,0
2187,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
6561,0,[None],0.5,80.10880489280586,330.35346900525997,1,1,1,1,1,1,1
6561,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
6561,2,[None],0.628099173553719,37.273285001763064,1.6294603819606277,0,1,1,1,1,1,1
19683,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
19683,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
19683,2,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
59049,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
59049,1,[None],0.5,59.24149764474736,464.504222554936,1,1,1,1,1,1,1
59049,2,[None],0.5444214876033058,5.7605387416505085,37.34862744468605,1,1,1,1,1,1,1
