random_seed,fold,threshold,roc_auc,n_neighbors,P__vr__count,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.7789256198347109,38,1,1,1,1,1,1,1,1
3,1,[None],0.7861570247933884,2,1,1,0,0,0,0,1,0
3,2,[None],0.7004132231404958,24,1,1,1,1,0,1,1,1
9,0,[None],0.865702479338843,5,1,0,1,1,0,1,1,0
9,1,[None],0.7396694214876034,19,1,1,1,1,0,0,1,1
9,2,[None],0.6570247933884298,21,1,1,1,1,1,0,1,0
27,0,[None],0.6900826446280992,23,1,1,1,1,1,1,1,1
27,1,[None],0.8212809917355373,32,1,1,1,1,0,1,1,1
27,2,[None],0.7510330578512396,21,1,1,1,1,0,1,1,1
81,0,[None],0.8026859504132232,26,1,1,0,1,0,1,0,1
81,1,[None],0.7066115702479339,5,1,1,1,1,1,1,1,1
81,2,[None],0.7551652892561983,2,1,1,1,1,1,1,1,1
243,0,[None],0.8099173553719008,33,1,0,0,1,1,1,1,1
243,1,[None],0.8078512396694215,24,1,1,1,1,1,1,1,1
243,2,[None],0.6415289256198347,20,1,1,1,1,1,1,1,1
729,0,[None],0.8491735537190082,18,1,0,0,1,0,0,0,0
729,1,[None],0.7241735537190083,2,1,1,0,1,0,1,0,0
729,2,[None],0.7665289256198348,6,1,1,1,1,0,1,1,1
2187,0,[None],0.7190082644628099,20,1,0,0,1,1,0,0,0
2187,1,[None],0.75,25,1,0,1,1,1,1,1,1
2187,2,[None],0.7592975206611571,23,1,1,1,1,0,1,0,1
6561,0,[None],0.8099173553719008,34,1,0,0,0,1,0,1,1
6561,1,[None],0.7179752066115703,26,1,1,0,0,0,0,0,0
6561,2,[None],0.7076446280991736,16,1,1,1,1,1,1,1,1
19683,0,[None],0.7985537190082643,28,1,1,1,1,0,1,0,1
19683,1,[None],0.743801652892562,23,1,1,1,1,0,1,1,1
19683,2,[None],0.7334710743801653,6,1,1,1,1,1,1,1,0
59049,0,[None],0.7479338842975206,19,1,1,1,1,1,1,1,1
59049,1,[None],0.7861570247933883,23,1,1,1,1,1,1,1,1
59049,2,[None],0.6373966942148761,18,1,1,1,1,1,1,1,1
