random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__vr__count,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.8997933884297521,1,408,0.877409820166494,1,1,1,0,1,0,1,1
3,1,[None],0.7148760330578512,8,430,0.007945178400659513,1,0,0,0,1,0,1,0
3,2,[None],0.7520661157024794,3,259,0.7033159399362827,1,1,1,1,1,1,1,1
9,0,[None],0.8192148760330578,1,16,0.6367740008525166,1,0,1,1,1,1,1,0
9,1,[None],0.7541322314049587,2,446,0.5398028996737351,1,1,0,1,0,1,0,0
9,2,[None],0.7520661157024793,1,16,0.6367740008525166,1,0,1,1,0,0,0,1
27,0,[None],0.8254132231404959,1,14,0.7831959252403368,1,1,1,1,1,0,0,0
27,1,[None],0.8481404958677686,1,16,0.6367740008525166,1,1,1,0,0,1,0,1
27,2,[None],0.734504132231405,1,16,0.6367740008525166,0,1,1,1,0,0,0,0
81,0,[None],0.7809917355371901,1,16,0.6367740008525166,1,0,0,0,1,0,0,0
81,1,[None],0.703512396694215,8,429,0.001,1,1,1,1,0,1,0,1
81,2,[None],0.856404958677686,8,430,0.007945178400659513,1,0,0,0,0,0,0,1
243,0,[None],0.75,6,435,0.7879512837664127,1,1,0,1,1,1,1,1
243,1,[None],0.8326446280991736,2,446,0.5398028996737351,1,1,1,0,0,0,1,1
243,2,[None],0.6735537190082646,2,356,0.7610242635682806,1,0,1,0,1,1,0,0
729,0,[None],0.8409090909090909,4,141,0.5431533870750902,1,1,0,0,1,0,1,1
729,1,[None],0.5599173553719008,1,14,0.001,1,1,1,1,1,1,1,1
729,2,[None],0.774793388429752,2,23,0.23437136267033004,1,0,1,1,1,0,1,0
2187,0,[None],0.8460743801652892,1,16,0.6367740008525166,1,1,1,1,1,1,0,1
2187,1,[None],0.8409090909090909,8,430,0.007945178400659513,1,0,1,1,0,0,1,1
2187,2,[None],0.7272727272727273,1,16,0.6535855087512398,0,0,1,1,1,0,0,0
6561,0,[None],0.725206611570248,1,115,0.02300909237353441,1,0,0,0,1,1,0,1
6561,1,[None],0.6942148760330579,6,27,0.8315199547580527,1,1,1,1,1,1,0,1
6561,2,[None],0.6983471074380164,6,369,0.8987598480537784,1,1,1,1,1,1,1,1
19683,0,[None],0.734504132231405,1,16,0.1915261719381015,1,1,0,0,0,0,0,1
19683,1,[None],0.9008264462809918,4,410,0.6949969117197965,0,1,1,1,1,1,0,0
19683,2,[None],0.6466942148760331,6,27,0.8315199547580527,1,1,1,1,1,1,1,1
59049,0,[None],0.8099173553719009,1,15,0.27433889915752374,1,1,0,0,1,0,0,1
59049,1,[None],0.881198347107438,4,485,0.9624848476471691,1,1,0,0,1,1,1,0
59049,2,[None],0.7076446280991736,2,23,0.09851452627447792,1,1,0,0,1,0,1,0
