random_seed,fold,threshold,roc_auc,n_neighbors,P__vr__count
3,0,[None],0.7768595041322313,26,1
3,1,[None],0.774793388429752,30,1
3,2,[None],0.7055785123966943,8,1
9,0,[None],0.828512396694215,15,1
9,1,[None],0.7809917355371901,8,1
9,2,[None],0.7324380165289256,11,1
27,0,[None],0.7014462809917356,30,1
27,1,[None],0.8161157024793388,22,1
27,2,[None],0.7572314049586777,36,1
81,0,[None],0.7975206611570248,3,1
81,1,[None],0.7117768595041323,33,1
81,2,[None],0.7665289256198347,23,1
243,0,[None],0.8243801652892562,29,1
243,1,[None],0.7954545454545455,1,1
243,2,[None],0.6766528925619835,37,1
729,0,[None],0.8388429752066116,30,1
729,1,[None],0.737603305785124,30,1
729,2,[None],0.7293388429752066,36,1
2187,0,[None],0.7634297520661157,35,1
2187,1,[None],0.7665289256198347,28,1
2187,2,[None],0.7510330578512396,2,1
6561,0,[None],0.7706611570247934,26,1
6561,1,[None],0.7603305785123967,20,1
6561,2,[None],0.7603305785123966,32,1
19683,0,[None],0.7913223140495869,29,1
19683,1,[None],0.7665289256198347,3,1
19683,2,[None],0.7376033057851239,36,1
59049,0,[None],0.8037190082644629,34,1
59049,1,[None],0.8223140495867769,7,1
59049,2,[None],0.6704545454545454,21,1
