random_seed,fold,threshold,roc_auc,C,P__vr__count
3,0,[None],0.7830578512396695,37.45407443072437,1
3,1,[None],0.7799586776859505,0.02705290054658411,1
3,2,[None],0.7014462809917354,0.012982460446661062,1
9,0,[None],0.8295454545454545,2.0585473711308153,1
9,1,[None],0.7975206611570248,0.0001,1
9,2,[None],0.6818181818181819,37.45407443072437,1
27,0,[None],0.7190082644628099,37.45407443072437,1
27,1,[None],0.8223140495867769,37.45407443072437,1
27,2,[None],0.7479338842975206,0.26101725124281805,1
81,0,[None],0.7799586776859504,0.6048037136935234,1
81,1,[None],0.7293388429752066,37.45407443072437,1
81,2,[None],0.7944214876033058,1.6404402830672171,1
243,0,[None],0.8295454545454546,0.00010000000000000005,1
243,1,[None],0.8150826446280991,0.0001,1
243,2,[None],0.6714876033057852,37.45407443072437,1
729,0,[None],0.84400826446281,0.0001,1
729,1,[None],0.7221074380165289,0.0001,1
729,2,[None],0.7241735537190085,37.45407443072437,1
2187,0,[None],0.7706611570247934,0.0001,1
2187,1,[None],0.7799586776859504,2.0585473711308153,1
2187,2,[None],0.7634297520661157,0.0001,1
6561,0,[None],0.7665289256198348,37.45407443072437,1
6561,1,[None],0.7613636363636364,37.45407443072437,1
6561,2,[None],0.7644628099173554,0.020776395528659796,1
19683,0,[None],0.8006198347107439,37.45407443072437,1
19683,1,[None],0.7799586776859504,0.3616858155705925,1
19683,2,[None],0.7169421487603305,37.45407443072437,1
59049,0,[None],0.7892561983471075,0.0001,1
59049,1,[None],0.8171487603305785,37.45407443072437,1
59049,2,[None],0.6621900826446282,37.45407443072437,1
