random_seed,fold,threshold,roc_auc,C,gamma,P__vr__count
3,0,[None],0.7024793388429751,59.79003809111063,9218.742358043744,1
3,1,[None],0.3626033057851239,37.45407443072437,9507.14306902773,1
3,2,[None],0.46797520661157027,93.29561091860363,440.4834572206641,1
9,0,[None],0.6497933884297521,79.78553480947389,8561.765264185211,1
9,1,[None],0.5578512396694215,76.87311112789232,5612.904454666638,1
9,2,[None],0.41632231404958675,28.093522875287107,5426.960877312877,1
27,0,[None],0.5289256198347108,0.5523111601485275,8154.614303002199,1
27,1,[None],0.44421487603305787,30.424293871729475,5247.564363846735,1
27,2,[None],0.6570247933884297,2.0585473711308153,9699.098524628958,1
81,0,[None],0.5630165289256198,0.5523111601485275,8154.614303002199,1
81,1,[None],0.35123966942148765,53.262711178111616,120.05122090703166,1
81,2,[None],0.487603305785124,6.505252793368653,9488.855377644779,1
243,0,[None],0.621900826446281,61.185328286948476,1394.9386925710323,1
243,1,[None],0.7427685950413223,60.111541062819704,7080.725807153198,1
243,2,[None],0.5526859504132232,54.67107326330003,1848.544636769825,1
729,0,[None],0.6064049586776861,53.262711178111616,120.05122090703166,1
729,1,[None],0.515495867768595,86.31035627721677,6232.981305945767,1
729,2,[None],0.253099173553719,29.21453563905696,3663.618496300733,1
2187,0,[None],0.25929752066115697,15.601948442379607,1559.9452877625745,1
2187,1,[None],0.5754132231404959,96.95846581799307,7751.328256097864,1
2187,2,[None],0.5836776859504132,2.0585473711308153,9699.098524628958,1
6561,0,[None],0.5258264462809917,81.10224998593304,3440.5460788670343,1
6561,1,[None],0.6260330578512396,45.60705281470517,7851.759635412541,1
6561,2,[None],0.3915289256198347,77.22449970518882,1987.156895470156,1
19683,0,[None],0.4989669421487603,59.79003809111063,9218.742358043744,1
19683,1,[None],0.7820247933884299,9.32689018045163,9020.741744657053,1
19683,2,[None],0.25413223140495866,29.21453563905696,3663.618496300733,1
59049,0,[None],0.45351239669421495,33.089869395462436,635.5835965044014,1
59049,1,[None],0.6931818181818181,31.098301073334046,3251.833287749139,1
59049,2,[None],0.3357438016528926,78.0122492938715,2969.6150996653823,1
