task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy,roc_auc_extremo
Animales,properties,target,xgb,,bca,"0.84568, (0.73461, 0.91160)","0.75758, (0.66504, 0.82424)","0.74763, (0.63758, 0.82582)","0.71818, (0.58832, 0.81196)","0.77961, (0.62923, 0.88313)","0.48485, (0.32111, 0.63811)","0.79873, (0.56520, 1.18878)",0.73461
Animales,properties__timing,target,xgb,,bca,"0.81662, (0.70372, 0.88627)","0.75000, (0.65877, 0.81515)","0.73934, (0.62598, 0.81791)","0.70909, (0.57500, 0.81274)","0.77228, (0.61015, 0.87191)","0.50000, (0.34455, 0.65525)","0.90139, (0.65450, 1.30449)",0.70372
Animales,timing,target,knnc,,bca,"0.70135, (0.59295, 0.78665)","0.62576, (0.52091, 0.71970)","0.54344, (0.41195, 0.65977)","0.44545, (0.32648, 0.58453)","0.69668, (0.50000, 0.83992)","0.74848, (0.52688, 0.90793)","1.07162, (0.94716, 1.24822)",0.59295
Animales__P,properties,target,xgb,,bca,"0.83629, (0.72208, 0.90137)","0.75909, (0.66667, 0.82879)","0.75576, (0.64111, 0.83376)","0.74545, (0.61118, 0.84643)","0.76636, (0.61226, 0.86666)","0.48182, (0.30039, 0.63929)","0.83393, (0.59672, 1.20290)",0.72208
Animales__P,properties__timing,target,knnc,,bca,"0.78904, (0.67612, 0.87113)","0.63333, (0.52464, 0.72576)","0.47619, (0.34131, 0.61774)","0.33333, (0.22217, 0.47383)","0.83333, (0.56732, 0.94316)","0.73333, (0.52619, 0.91193)","0.95984, (0.78640, 1.23027)",0.67612
Animales__P,timing,target,knnc,,bca,"0.67066, (0.56276, 0.75974)","0.61818, (0.50933, 0.71212)","0.48780, (0.33795, 0.62285)","0.36364, (0.23543, 0.51685)","0.74074, (0.53907, 0.87651)","0.76364, (0.56582, 0.94516)","1.00027, (0.93029, 1.10056)",0.56276
brain,norm_brain_lit,target,xgb,,bca,"0.90259, (0.81524, 0.95225)","0.81667, (0.72796, 0.88030)","0.81639, (0.71536, 0.88757)","0.81515, (0.68400, 0.90369)","0.81763, (0.68201, 0.91421)","0.36667, (0.19718, 0.52465)","0.63035, (0.41093, 0.99511)",0.81524
connectivity,networks,target,lr,,bca,"0.68936, (0.54514, 0.81081)","0.67308, (0.56346, 0.75962)","0.63519, (0.48202, 0.75596)","0.61667, (0.44000, 0.75721)","0.65487, (0.43866, 0.79911)","0.70833, (0.46425, 0.96874)","1.03543, (0.78991, 1.33945)",0.54514
nps,executive,target,lr,,bca,"0.78569, (0.67877, 0.86760)","0.73939, (0.64537, 0.82121)","0.72956, (0.60185, 0.82729)","0.70303, (0.53059, 0.81783)","0.75817, (0.59291, 0.87947)","0.52121, (0.30719, 0.70000)","0.88037, (0.73493, 1.08766)",0.67877
nps,executive__mmse,target,xgb,,bca,"0.93512, (0.87562, 0.97277)","0.84697, (0.76364, 0.91212)","0.84674, (0.74962, 0.91565)","0.84545, (0.71085, 0.93000)","0.84802, (0.71739, 0.93709)","0.30606, (0.15135, 0.47093)","0.51302, (0.30034, 0.76147)",0.87562
nps,mmse,target,lr,,bca,"0.96582, (0.91229, 0.98843)","0.87719, (0.78421, 0.93333)","0.86328, (0.74733, 0.93289)","0.81852, (0.64784, 0.92744)","0.91322, (0.75077, 0.97296)","0.25926, (0.11852, 0.44313)","0.34404, (0.21046, 0.55759)",0.91229
P,properties,target,knnc,,bca,"0.65913, (0.55190, 0.75829)","0.57879, (0.47365, 0.68052)","0.38496, (0.25354, 0.52635)","0.26364, (0.16149, 0.39119)","0.71311, (0.43899, 0.88672)","0.84242, (0.63518, 1.01696)","0.96722, (0.90319, 1.05924)",0.5519
P,properties__timing,target,lr,,bca,"0.66505, (0.56590, 0.74237)","0.68182, (0.59242, 0.75000)","0.67692, (0.56291, 0.77219)","0.66667, (0.54118, 0.77535)","0.68750, (0.52090, 0.79723)","0.63636, (0.44083, 0.81099)","1.24820, (1.06853, 1.44994)",0.5659
P,timing,target,lr,,bca,"0.66790, (0.55475, 0.76477)","0.58636, (0.49091, 0.67424)","0.58193, (0.45877, 0.69217)","0.57576, (0.44316, 0.70956)","0.58824, (0.43307, 0.72355)","0.82727, (0.59331, 1.00346)","1.03226, (0.84677, 1.29628)",0.55475
