task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy,roc_auc_extremo
Animales,properties,target,xgb,,bca,"0.83642, (0.73197, 0.89964)","0.75152, (0.66435, 0.81667)","0.74295, (0.63262, 0.82146)","0.71818, (0.58294, 0.81667)","0.76948, (0.62637, 0.86973)","0.49697, (0.34242, 0.65000)","0.84047, (0.60394, 1.20987)",0.73197
Animales,properties__timing,target,xgb,,bca,"0.81581, (0.70324, 0.88553)","0.74545, (0.65606, 0.81212)","0.73585, (0.62702, 0.81399)","0.70909, (0.56944, 0.81034)","0.76471, (0.60334, 0.86242)","0.50909, (0.35908, 0.66216)","0.91523, (0.66501, 1.30711)",0.70324
Animales,timing,target,knnc,,bca,"0.69191, (0.58615, 0.77428)","0.63485, (0.53579, 0.72273)","0.56420, (0.43998, 0.67639)","0.47273, (0.35114, 0.60834)","0.69955, (0.51144, 0.83578)","0.73030, (0.49855, 0.89826)","1.11256, (0.98198, 1.28637)",0.58615
Animales__P,properties,target,xgb,,bca,"0.84330, (0.73534, 0.90640)","0.77121, (0.68068, 0.83939)","0.77017, (0.66278, 0.84613)","0.76667, (0.64273, 0.85824)","0.77370, (0.62445, 0.87674)","0.45758, (0.28025, 0.60909)","0.81238, (0.57725, 1.16303)",0.73534
Animales__P,properties__timing,target,xgb,,bca,"0.78552, (0.67313, 0.86217)","0.71818, (0.62172, 0.78788)","0.71560, (0.59711, 0.79758)","0.70909, (0.58247, 0.80000)","0.72222, (0.56410, 0.83367)","0.56364, (0.39009, 0.72488)","0.98267, (0.73189, 1.33806)",0.67313
Animales__P,timing,target,lr,,bca,"0.67749, (0.57230, 0.76720)","0.63485, (0.53987, 0.71515)","0.63318, (0.51657, 0.72323)","0.63030, (0.51318, 0.74839)","0.63609, (0.47909, 0.76027)","0.73030, (0.52494, 0.89310)","1.14942, (0.93378, 1.42903)",0.5723
brain,norm_brain_lit,target,xgb,,bca,"0.89837, (0.80944, 0.94896)","0.82879, (0.73939, 0.88660)","0.82905, (0.73359, 0.89524)","0.83030, (0.70316, 0.91429)","0.82779, (0.69293, 0.91718)","0.34242, (0.18666, 0.49289)","0.64569, (0.42230, 1.01879)",0.80944
connectivity,networks,target,lr,,bca,"0.64579, (0.53821, 0.74586)","0.59394, (0.51061, 0.67576)","0.58255, (0.47453, 0.69734)","0.56667, (0.44337, 0.70369)","0.59936, (0.45504, 0.74021)","0.81212, (0.61302, 0.95333)","1.04715, (0.87817, 1.24832)",0.53821
nps,executive,target,lr,,bca,"0.79101, (0.68378, 0.86958)","0.75909, (0.66256, 0.83788)","0.74882, (0.63227, 0.84619)","0.71818, (0.55554, 0.82868)","0.78218, (0.62010, 0.89416)","0.48182, (0.27187, 0.66296)","0.86484, (0.72774, 1.04185)",0.68378
nps,executive__mmse,target,xgb,,bca,"0.93151, (0.86765, 0.96935)","0.85606, (0.78020, 0.91818)","0.85584, (0.76335, 0.92343)","0.85455, (0.72647, 0.93369)","0.85714, (0.73359, 0.93686)","0.28788, (0.14062, 0.44280)","0.53757, (0.32224, 0.77546)",0.86765
nps,mmse,target,knnc,,bca,"0.90444, (0.83451, 0.95086)","0.78485, (0.69848, 0.85455)","0.75768, (0.65415, 0.84429)","0.67273, (0.53744, 0.78376)","0.86719, (0.73381, 0.94000)","0.43030, (0.26638, 0.58889)","0.60807, (0.48385, 0.76333)",0.83451
P,properties,target,xgb,,bca,"0.66777, (0.56997, 0.74950)","0.63182, (0.55142, 0.70606)","0.63459, (0.52367, 0.71905)","0.63939, (0.52450, 0.73420)","0.62985, (0.46380, 0.74369)","0.73636, (0.55312, 0.87545)","1.27549, (1.03316, 1.60434)",0.56997
P,properties__timing,target,lr,,bca,"0.65953, (0.55849, 0.73508)","0.65455, (0.56252, 0.72879)","0.65138, (0.52271, 0.74060)","0.64545, (0.50929, 0.74910)","0.65741, (0.48546, 0.77614)","0.69091, (0.48432, 0.87097)","1.17090, (1.02502, 1.33645)",0.55849
P,timing,target,lr,,bca,"0.64848, (0.53883, 0.74658)","0.59091, (0.50482, 0.67037)","0.58075, (0.46574, 0.69455)","0.56667, (0.43849, 0.69821)","0.59554, (0.44628, 0.72751)","0.81818, (0.59871, 0.97298)","1.03069, (0.86574, 1.24095)",0.53883
